"ymd","year","month","day","numBlocks","difficulty","rewardPerBlock","transactionFees","difficultyChange","bitx","bitfinex","coinebase","kraken","AvgPrice","Work","revenuePerDay","revenuePerGH"
"2009-03-03",2009,3,3,105,1,50,0,0,NA,NA,NA,NA,NA,450978447465,NA,NA
"2009-03-04",2009,3,4,104,1,50,0,0,NA,NA,NA,NA,NA,446683414632,NA,NA
"2009-03-05",2009,3,5,112,1,50,0,0,NA,NA,NA,NA,NA,481043677296,NA,NA
"2009-03-06",2009,3,6,117,1,50,0,0,NA,NA,NA,NA,NA,502518841461,NA,NA
"2009-03-07",2009,3,7,109,1,50,0,0,NA,NA,NA,NA,NA,468158578797,NA,NA
"2009-03-08",2009,3,8,115,1,50,0,0,NA,NA,NA,NA,NA,493928775795,NA,NA
"2009-03-09",2009,3,9,108,1,50,0,0,NA,NA,NA,NA,NA,463863545964,NA,NA
"2009-03-10",2009,3,10,107,1,50,0,0,NA,NA,NA,NA,NA,459568513131,NA,NA
"2009-03-11",2009,3,11,114,1,50,0,0,NA,NA,NA,NA,NA,489633742962,NA,NA
"2009-03-12",2009,3,12,118,1,50,0,0,NA,NA,NA,NA,NA,506813874294,NA,NA
"2009-03-13",2009,3,13,113,1,50,0,0,NA,NA,NA,NA,NA,485338710129,NA,NA
"2009-03-14",2009,3,14,110,1,50,0,0,NA,NA,NA,NA,NA,472453611630,NA,NA
"2009-03-15",2009,3,15,123,1,50,0,0,NA,NA,NA,NA,NA,528289038459,NA,NA
"2009-03-16",2009,3,16,121,1,50,0,0,NA,NA,NA,NA,NA,519698972793,NA,NA
"2009-03-17",2009,3,17,114,1,50,0,0,NA,NA,NA,NA,NA,489633742962,NA,NA
"2009-03-18",2009,3,18,114,1,50,0,0,NA,NA,NA,NA,NA,489633742962,NA,NA
"2009-03-19",2009,3,19,122,1,50,0,0,NA,NA,NA,NA,NA,523994005626,NA,NA
"2009-03-20",2009,3,20,118,1,50,0,0,NA,NA,NA,NA,NA,506813874294,NA,NA
"2009-03-21",2009,3,21,50,1,50,0,0,NA,NA,NA,NA,NA,214751641650,NA,NA
"2009-03-22",2009,3,22,119,1,50,0,0,NA,NA,NA,NA,NA,511108907127,NA,NA
"2009-03-23",2009,3,23,130,1,50,0,0,NA,NA,NA,NA,NA,558354268290,NA,NA
"2009-03-24",2009,3,24,105,1,50,0,0,NA,NA,NA,NA,NA,450978447465,NA,NA
"2009-03-25",2009,3,25,117,1,50,0,0,NA,NA,NA,NA,NA,502518841461,NA,NA
"2009-03-26",2009,3,26,117,1,50,0,0,NA,NA,NA,NA,NA,502518841461,NA,NA
"2009-03-27",2009,3,27,106,1,50,0,0,NA,NA,NA,NA,NA,455273480298,NA,NA
"2009-03-28",2009,3,28,119,1,50,0,0,NA,NA,NA,NA,NA,511108907127,NA,NA
"2009-03-29",2009,3,29,116,1,50,0,0,NA,NA,NA,NA,NA,498223808628,NA,NA
"2009-03-30",2009,3,30,120,1,50,0,0,NA,NA,NA,NA,NA,515403939960,NA,NA
"2009-03-31",2009,3,31,110,1,50,0,0,NA,NA,NA,NA,NA,472453611630,NA,NA
"2009-04-01",2009,4,1,114,1,50,0,0,NA,NA,NA,NA,NA,489633742962,NA,NA
"2009-04-02",2009,4,2,115,1,50,0,0,NA,NA,NA,NA,NA,493928775795,NA,NA
"2009-04-03",2009,4,3,116,1,50,0,0,NA,NA,NA,NA,NA,498223808628,NA,NA
"2009-04-04",2009,4,4,113,1,50,0,0,NA,NA,NA,NA,NA,485338710129,NA,NA
"2009-04-05",2009,4,5,130,1,50,0,0,NA,NA,NA,NA,NA,558354268290,NA,NA
"2009-04-06",2009,4,6,109,1,50,0,0,NA,NA,NA,NA,NA,468158578797,NA,NA
"2009-04-07",2009,4,7,100,1,50,0,0,NA,NA,NA,NA,NA,429503283300,NA,NA
"2009-04-08",2009,4,8,105,1,50,0,0,NA,NA,NA,NA,NA,450978447465,NA,NA
"2009-04-09",2009,4,9,99,1,50,0,0,NA,NA,NA,NA,NA,425208250467,NA,NA
