,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,496265,BTCC,1608,978733,1057053,3993252,0.00014363,12.5 + 0.57356754 BTC,2017/11/26 23:55,NYA
2,496264,BTCC,1200,985066,1037892,3993090,0.00025724,12.5 + 1.02716934 BTC,2017/11/26 23:52,NYA
3,496263,unknown,2553,967139,1091640,3993057,0.00032246,12.5 + 1.28761282 BTC,2017/11/26 23:49,
4,496262,BTCC,2114,962995,1103914,3992899,0.00017126,12.5 + 0.68380476 BTC,2017/11/26 23:38,NYA
5,496261,ViaBTC,2724,975843,1065295,3992824,0.00019325,12.5 + 0.77162329 BTC,2017/11/26 23:36,
6,496260,AntPool,2224,971321,1078907,3992870,0.00031014,12.5 + 1.23836719 BTC,2017/11/26 23:35,
7,496259,BitClub,2484,969785,1083626,3992981,0.00035013,12.5 + 1.39806034 BTC,2017/11/26 23:29,NYA
8,496258,BTC.com,2265,978484,1057269,3992721,0.00035349,12.5 + 1.41139302 BTC,2017/11/26 23:19,
9,496257,SlushPool,2801,976556,1063404,3993072,0.00047749,12.5 + 1.90663279 BTC,2017/11/26 23:16,
10,496256,BTC.com,2499,969987,1083029,3992990,0.00027903,12.5 + 1.11416245 BTC,2017/11/26 22:48,
11,496255,SlushPool,2763,978026,1059031,3993109,0.00043708,12.5 + 1.74529390 BTC,2017/11/26 22:46,
12,496254,BTPOOL,3019,979714,1053939,3993081,0.00045247,12.5 + 1.80675505 BTC,2017/11/26 22:32,
13,496253,BTC.TOP,1154,950887,1140545,3993206,0.00024864,12.5 + 0.99287158 BTC,2017/11/26 22:10,
14,496252,ViaBTC,2167,977977,1059207,3993138,0.00037239,12.5 + 1.48701289 BTC,2017/11/26 22:09,
15,496251,SlushPool,2128,986052,1034868,3993024,0.00053207,12.5 + 2.12456327 BTC,2017/11/26 22:01,
16,496250,AntPool,2059,978605,1056867,3992682,0.00036512,12.5 + 1.45780242 BTC,2017/11/26 21:47,
17,496249,ViaBTC,2119,980349,1052019,3993066,0.00035010,12.5 + 1.39795907 BTC,2017/11/26 21:39,
18,496248,BitClub,2535,983461,1042633,3993016,0.00046267,12.5 + 1.84746602 BTC,2017/11/26 21:34,NYA
19,496247,AntPool,2595,978770,1056681,3992991,0.00046467,12.5 + 1.85543321 BTC,2017/11/26 21:14,
20,496246,BTCC,1957,980845,1050643,3993178,0.00029186,12.5 + 1.16545796 BTC,2017/11/26 21:00,NYA
21,496245,BTC.TOP,2544,982187,1046678,3993239,0.00039328,12.5 + 1.57045176 BTC,2017/11/26 20:55,
22,496244,AntPool,2342,982674,1044864,3992886,0.00039359,12.5 + 1.57157430 BTC,2017/11/26 20:43,
23,496243,SlushPool,2164,973317,1072811,3992762,0.00030095,12.5 + 1.20161708 BTC,2017/11/26 20:32,
24,496242,BitClub,2224,919231,1235497,3993190,0.00034228,12.5 + 1.36679725 BTC,2017/11/26 20:32,NYA
25,496241,BW.COM,2556,998256,998292,3993060,0.00038977,12.5 + 1.55639047 BTC,2017/11/26 20:31,NYA
26,496240,AntPool,2873,981640,1048111,3993031,0.00040192,12.5 + 1.60489387 BTC,2017/11/26 20:22,
27,496239,SlushPool,2871,976381,1063675,3992818,0.00042938,12.5 + 1.71444680 BTC,2017/11/26 20:14,
