,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,463237,SlushPool,2225,998188,998188,3992752,0.00036615,12.5 + 1.46193685 BTC,2017/04/23 23:53,SW
2,463236,BitClub,262,998265,998265,3993060,0.00005907,12.5 + 0.23587512 BTC,2017/04/23 23:36,V 4
3,463235,AntPool,233,998048,998048,3992192,0.00006147,12.5 + 0.24540197 BTC,2017/04/23 23:35,
4,463234,F2Pool,1383,985395,985395,3941580,0.00020182,12.5 + 0.79550654 BTC,2017/04/23 23:34,SW
5,463233,KanoPool,2075,988046,988046,3952184,0.00043713,12.5 + 1.72761780 BTC,2017/04/23 23:33,
6,463232,1Hash,1013,998092,998092,3992368,0.00016462,12.5 + 0.65723183 BTC,2017/04/23 23:10,
7,463231,BTC.TOP,1044,999042,999042,3996168,0.00024113,12.5 + 0.96360251 BTC,2017/04/23 23:07,
8,463230,AntPool,2282,998218,998218,3992872,0.00037979,12.5 + 1.51643648 BTC,2017/04/23 23:03,
9,463229,Telco 214,2730,998228,998228,3992912,0.00032397,12.5 + 1.29356717 BTC,2017/04/23 22:51,SW
10,463228,BitFury,1885,998085,998085,3992340,0.00038575,12.5 + 1.54003011 BTC,2017/04/23 22:46,SW
11,463227,AntPool,277,126413,126413,505652,0.00055755,12.5 + 0.28192780 BTC,2017/04/23 22:37,
12,463226,BTCC,2195,998151,998151,3992604,0.00034058,12.5 + 1.35978379 BTC,2017/04/23 22:31,SW
13,463225,AntPool,2022,998228,998228,3992912,0.00033394,12.5 + 1.33337641 BTC,2017/04/23 22:25,
14,463224,GBMiners,2115,999078,999078,3996312,0.00039929,12.5 + 1.59567524 BTC,2017/04/23 22:25,
15,463223,AntPool,2032,998233,998233,3992932,0.00054250,12.5 + 2.16615886 BTC,2017/04/23 22:15,
16,463222,BTCC,1833,998103,998103,3992412,0.00056720,12.5 + 2.26449556 BTC,2017/04/23 21:43,SW
17,463221,AntPool,2643,998122,998122,3992488,0.00061511,12.5 + 2.45581293 BTC,2017/04/23 21:25,
18,463220,F2Pool,1773,997185,997185,3988740,0.00023651,12.5 + 0.94336705 BTC,2017/04/23 21:03,SW
19,463219,1Hash,2555,998119,998119,3992476,0.00046461,12.5 + 1.85492945 BTC,2017/04/23 21:02,
20,463218,BTC.com,803,998210,998210,3992840,0.00013636,12.5 + 0.54446344 BTC,2017/04/23 20:38,
21,463217,1Hash,853,998050,998050,3992200,0.00013958,12.5 + 0.55722797 BTC,2017/04/23 20:34,
22,463216,BitFury,186,998236,998236,3992944,0.00006786,12.5 + 0.27096874 BTC,2017/04/23 20:30,SW
23,463215,BitFury,172,998165,998165,3992660,0.00002915,12.5 + 0.11640584 BTC,2017/04/23 20:30,SW
24,463214,BW.COM,339,998201,998201,3992804,0.00007378,12.5 + 0.29458942 BTC,2017/04/23 20:29,
25,463213,1Hash,1,215,215,860,0.00000000,12.5 + 0.00000000 BTC,2017/04/23 20:37,
26,463212,Bixin,917,998171,998171,3992684,0.00016314,12.5 + 0.65136827 BTC,2017/04/23 20:27,
27,463211,SlushPool,310,998157,998157,3992628,0.00006604,12.5 + 0.26365377 BTC,2017/04/23 20:24,
28,463210,SlushPool,1151,998079,998079,3992316,0.00022324,12.5 + 0.89124462 BTC,2017/04/23 20:22,SW
29,463209,BW.COM,931,998187,998187,3992748,0.00008621,12.5 + 0.34421494 BTC,2017/04/23 20:16,
30,463208,BitFury,1653,998163,998163,3992652,0.00026385,12.5 + 1.05345415 BTC,2017/04/23 20:15,SW
31,463207,BW.COM,2351,998072,998072,3992288,0.00028947,12.5 + 1.15563381 BTC,2017/04/23 20:09,
32,463206,CANOE,2152,999129,999129,3996516,0.00034652,12.5 + 1.38486692 BTC,2017/04/23 20:08,
33,463205,BTC.TOP,2381,999096,999096,3996384,0.00034535,12.5 + 1.38013232 BTC,2017/04/23 20:00,
34,463204,BitClub,2532,998260,998260,3993040,0.00038128,12.5 + 1.52247262 BTC,2017/04/23 19:54,V 4
35,463203,AntPool,3048,998246,998246,3992984,0.00053278,12.5 + 2.12738815 BTC,2017/04/23 19:49,
36,463202,BTC.TOP,2772,999115,999115,3996460,0.00043170,12.5 + 1.72528634 BTC,2017/04/23 19:03,
37,463201,F2Pool,1917,999993,999993,3999972,0.00022829,12.5 + 0.91316104 BTC,2017/04/23 18:41,SW
38,463200,AntPool,2524,998220,998220,3992880,0.00033060,12.5 + 1.32006050 BTC,2017/04/23 18:41,
39,463199,BitFury,1453,998237,998237,3992948,0.00022139,12.5 + 0.88401069 BTC,2017/04/23 18:32,SW
40,463198,BitFury,2903,998105,998105,3992420,0.00050298,12.5 + 2.00809427 BTC,2017/04/23 18:29,SW
41,463197,KanoPool,322,88067,88067,352268,0.00033424,12.5 + 0.11774205 BTC,2017/04/23 18:00,
42,463196,KanoPool,2282,987972,987972,3951888,0.00034799,12.5 + 1.37521009 BTC,2017/04/23 17:59,
43,463195,AntPool,2613,998231,998231,3992924,0.00048451,12.5 + 1.93462586 BTC,2017/04/23 17:51,
44,463194,BTC.com,1973,998237,998237,3992948,0.00028697,12.5 + 1.14583994 BTC,2017/04/23 17:31,
45,463193,ViaBTC,1834,998964,998964,3995856,0.00043265,12.5 + 1.72879206 BTC,2017/04/23 17:25,
46,463192,F2Pool,2364,999933,999933,3999732,0.00032063,12.5 + 1.28241716 BTC,2017/04/23 17:15,SW
47,463191,ViaBTC,2586,999167,999167,3996668,0.00040787,12.5 + 1.63010623 BTC,2017/04/23 17:11,
