,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,356467,F2Pool,423,178890,178890,715560,0.00008288,25 + 0.05930241 BTC,2015/05/14 23:51,V 2
2,356466,BTCC,29,9716,9716,38864,0.00009572,25 + 0.00371992 BTC,2015/05/14 23:55,V 3
3,356465,F2Pool,139,99843,99843,399372,0.00001024,25 + 0.00409017 BTC,2015/05/14 23:43,V 2
4,356464,BTCC,1031,458536,458536,1834144,0.00007586,25 + 0.13914653 BTC,2015/05/14 23:43,V 3
5,356463,F2Pool,494,238798,238798,955192,0.00005223,25 + 0.04989257 BTC,2015/05/14 23:27,V 2
6,356462,F2Pool,1,251,251,1004,0.00000000,25 + 0.00000000 BTC,2015/05/14 23:23,V 2
7,356461,BTC Guild,462,288367,288367,1153468,0.00006622,25 + 0.07638406 BTC,2015/05/14 23:23,V 2
8,356460,BTC Nuggets,1906,749202,749202,2996808,0.00008451,25 + 0.25325322 BTC,2015/05/14 23:18,V 2
9,356459,BW.COM,26,11846,11846,47384,0.00005596,25 + 0.00265181 BTC,2015/05/14 22:43,V 3
10,356458,AntPool,422,226279,226279,905116,0.00005807,25 + 0.05256199 BTC,2015/05/14 22:43,V 2
11,356457,F2Pool,1173,563461,563461,2253844,0.00006967,25 + 0.15702591 BTC,2015/05/14 22:38,V 2
12,356456,AntPool,517,264408,264408,1057632,0.00005914,25 + 0.06254451 BTC,2015/05/14 22:22,V 2
13,356455,BTCC,670,554534,554534,2218136,0.00010705,25 + 0.23745718 BTC,2015/05/14 22:17,V 3
14,356454,SlushPool,97,45429,45429,181716,0.00007029,25 + 0.01277260 BTC,2015/05/14 22:07,V 2
15,356453,BW.COM,690,348306,348306,1393224,0.00006550,25 + 0.09125682 BTC,2015/05/14 22:05,V 3
16,356452,F2Pool,134,99950,99950,399800,0.00003905,25 + 0.01561408 BTC,2015/05/14 21:57,V 2
17,356451,BW.COM,614,368563,368563,1474252,0.00005688,25 + 0.08385961 BTC,2015/05/14 21:55,V 3
18,356450,AntPool,302,149878,149878,599512,0.00007042,25 + 0.04221653 BTC,2015/05/14 21:47,V 2
19,356449,MegaBigPower,64,19376,19376,77504,0.00010577,25 + 0.00819744 BTC,2015/05/14 21:46,V 2
20,356448,KnCMiner,1285,536050,536050,2144200,0.00007914,25 + 0.16969516 BTC,2015/05/14 21:41,V 3
21,356447,F2Pool,1005,456294,456294,1825176,0.00006853,25 + 0.12508736 BTC,2015/05/14 21:28,V 2
22,356446,AntPool,1629,749028,749028,2996112,0.00007888,25 + 0.23633569 BTC,2015/05/14 21:18,V 2
23,356445,Bitcoin Affiliate Network,131,58611,58611,234444,0.00006887,25 + 0.01614633 BTC,2015/05/14 20:58,V 3
24,356444,Bitcoin Affiliate Network,269,101374,101374,405496,0.00009036,25 + 0.03664156 BTC,2015/05/14 20:56,V 3
25,356443,unknown,493,200715,200715,802860,0.00006882,25 + 0.05525410 BTC,2015/05/14 20:52,V 2
26,356442,BitFury,131,106344,106344,425376,0.00005033,25 + 0.02140980 BTC,2015/05/14 20:47,V 3
27,356441,F2Pool,295,221077,221077,884308,0.00005674,25 + 0.05017910 BTC,2015/05/14 20:47,V 2
28,356440,BW.COM,1015,511490,511490,2045960,0.00005904,25 + 0.12079520 BTC,2015/05/14 20:43,V 3
29,356439,unknown,27,11020,11020,44080,0.00006174,25 + 0.00272131 BTC,2015/05/14 20:35,V 2
30,356438,F2Pool,129,99893,99893,399572,0.00002264,25 + 0.00904709 BTC,2015/05/14 20:30,V 2
31,356437,unknown,68,23570,23570,94280,0.00006951,25 + 0.00655355 BTC,2015/05/14 20:40,V 2
32,356436,AntPool,915,486320,486320,1945280,0.00006238,25 + 0.12134226 BTC,2015/05/14 20:28,V 2
33,356435,BTC Guild,588,279164,279164,1116656,0.00007433,25 + 0.08300652 BTC,2015/05/14 20:18,V 2
34,356434,AntPool,528,244228,244228,976912,0.00007343,25 + 0.07173365 BTC,2015/05/14 20:10,V 2
35,356433,AntPool,291,144738,144738,578952,0.00006240,25 + 0.03612948 BTC,2015/05/14 20:04,V 2
36,356432,F2Pool,148,99908,99908,399632,0.00003377,25 + 0.01349368 BTC,2015/05/14 20:01,V 2
37,356431,21 Inc.,1323,645799,645799,2583196,0.00006888,25 + 0.17792527 BTC,2015/05/14 20:01,V 2
38,356430,AntPool,1,208,208,832,0.00000000,25 + 0.00000000 BTC,2015/05/14 19:44,V 2
39,356429,F2Pool,679,312375,312375,1249500,0.00007288,25 + 0.09106310 BTC,2015/05/14 19:43,V 2
40,356428,KnCMiner,1088,555381,555381,2221524,0.00006361,25 + 0.14131433 BTC,2015/05/14 19:35,V 3
41,356427,AntPool,23,8979,8979,35916,0.00006554,25 + 0.00235394 BTC,2015/05/14 19:22,V 2
42,356426,unknown,175,71739,71739,286956,0.00005878,25 + 0.01686593 BTC,2015/05/14 19:22,V 2
43,356425,AntPool,652,278616,278616,1114464,0.00006394,25 + 0.07125340 BTC,2015/05/14 19:20,V 2
44,356424,BTCC,978,474083,474083,1896332,0.00007860,25 + 0.14904499 BTC,2015/05/14 19:14,V 3
45,356423,Telco 214,268,155740,155740,622960,0.00005159,25 + 0.03213597 BTC,2015/05/14 19:02,V 3
46,356422,KnCMiner,738,529341,529341,2117364,0.00003297,25 + 0.06981223 BTC,2015/05/14 19:00,V 3
47,356421,KnCMiner,1,205,205,820,0.00000000,25 + 0.00000000 BTC,2015/05/14 18:57,V 3
48,356420,MegaBigPower,1024,694343,694343,2777372,0.00005549,25 + 0.15410816 BTC,2015/05/14 18:56,V 2
49,356419,AntPool,950,749206,749206,2996824,0.00005422,25 + 0.16249367 BTC,2015/05/14 18:49,V 2
50,356418,F2Pool,3324,999968,999968,3999872,0.00011173,25 + 0.44689155 BTC,2015/05/14 18:45,V 2
51,356417,unknown,897,436701,436701,1746804,0.00006684,25 + 0.11675250 BTC,2015/05/14 17:45,V 2
52,356416,AntPool,913,499719,499719,1998876,0.00006389,25 + 0.12770956 BTC,2015/05/14 17:36,V 2
53,356415,AntPool,580,407780,407780,1631120,0.00005672,25 + 0.09251032 BTC,2015/05/14 17:25,V 2
54,356414,AntPool,1127,561451,561451,2245804,0.00007308,25 + 0.16412037 BTC,2015/05/14 17:19,V 2
55,356413,AntPool,1608,749126,749126,2996504,0.00007568,25 + 0.22678584 BTC,2015/05/14 17:08,V 2
56,356412,BitMinter,192,117842,117842,471368,0.00003211,25 + 0.01513604 BTC,2015/05/14 16:50,V 3
57,356411,MegaBigPower,512,412410,412410,1649640,0.00002992,25 + 0.04934989 BTC,2015/05/14 16:48,V 2
58,356410,BW.COM,1072,749194,749194,2996776,0.00004688,25 + 0.14048526 BTC,2015/05/14 16:45,V 3
59,356409,Eligius,354,362839,362839,1451356,0.00004445,25 + 0.06450576 BTC,2015/05/14 16:38,V 2
60,356408,BW.COM,1157,749185,749185,2996740,0.00006532,25 + 0.19575952 BTC,2015/05/14 16:35,V 3
61,356407,BTC Nuggets,2008,749104,749104,2996416,0.00009580,25 + 0.28705173 BTC,2015/05/14 16:25,V 2
62,356406,SlushPool,1106,749180,749180,2996720,0.00004129,25 + 0.12372834 BTC,2015/05/14 15:56,V 2
63,356405,BTCC,1475,749123,749123,2996492,0.00007447,25 + 0.22315322 BTC,2015/05/14 15:51,V 3
64,356404,Bitcoin Affiliate Network,1162,994107,994107,3976428,0.00004161,25 + 0.16547820 BTC,2015/05/14 15:34,V 3
65,356403,BW.COM,1979,749233,749233,2996932,0.00008120,25 + 0.24335565 BTC,2015/05/14 15:29,V 3
66,356402,BW.COM,2686,749177,749177,2996708,0.00012663,25 + 0.37948448 BTC,2015/05/14 15:11,V 3
67,356401,unknown,916,478866,478866,1915464,0.00006459,25 + 0.12372911 BTC,2015/05/14 14:22,V 2
68,356400,BTC Guild,1071,460559,460559,1842236,0.00008746,25 + 0.16111918 BTC,2015/05/14 14:02,V 2
69,356399,BTC Guild,88,49799,49799,199196,0.00007247,25 + 0.01443479 BTC,2015/05/14 13:49,V 2
70,356398,F2Pool,783,373190,373190,1492760,0.00007083,25 + 0.10572589 BTC,2015/05/14 13:48,V 2
71,356397,AntPool,175,116804,116804,467216,0.00004709,25 + 0.02200234 BTC,2015/05/14 13:39,V 2
72,356396,AntPool,1198,638278,638278,2553112,0.00007612,25 + 0.19435261 BTC,2015/05/14 13:38,V 2
