,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,348203,F2Pool,106,99882,99882,399528,0.00002806,25 + 0.01121259 BTC,2015/03/18 23:54,V 2
2,348202,digitalBTC,279,175632,175632,702528,0.00004814,25 + 0.03381884 BTC,2015/03/18 23:54,V 2
3,348201,unknown,719,636989,636989,2547956,0.00003476,25 + 0.08855680 BTC,2015/03/18 23:49,V 3
4,348200,Telco 214,2063,749179,749179,2996716,0.00009228,25 + 0.27654087 BTC,2015/03/18 23:49,V 2
5,348199,F2Pool,581,275322,275322,1101288,0.00006859,25 + 0.07554223 BTC,2015/03/18 23:02,V 2
6,348198,BW.COM,892,450992,450992,1803968,0.00006548,25 + 0.11812067 BTC,2015/03/18 22:53,V 2
7,348197,KnCMiner,679,434475,434475,1737900,0.00005333,25 + 0.09267612 BTC,2015/03/18 22:38,V 2
8,348196,BTC Guild,165,87545,87545,350180,0.00006629,25 + 0.02321290 BTC,2015/03/18 22:27,V 2
9,348195,F2Pool,120,99964,99964,399856,0.00004491,25 + 0.01795741 BTC,2015/03/18 22:25,V 2
10,348194,AntPool,264,194453,194453,777812,0.00004181,25 + 0.03252129 BTC,2015/03/18 22:23,V 2
11,348193,Polmine,256,78427,78427,313708,0.00008747,25 + 0.02744111 BTC,2015/03/18 22:27,V 2
12,348192,BTCC,788,425007,425007,1700028,0.00010084,25 + 0.17142880 BTC,2015/03/18 22:17,V 3
13,348191,BW.COM,107,94932,94932,379728,0.00002638,25 + 0.01001885 BTC,2015/03/18 22:05,V 2
14,348190,unknown,920,455319,455319,1821276,0.00006509,25 + 0.11854348 BTC,2015/03/18 22:02,V 2
15,348189,GHash.IO,814,443027,443027,1772108,0.00006363,25 + 0.11275552 BTC,2015/03/18 21:52,V 2
16,348188,unknown,64,597230,597230,2388920,0.00000635,25 + 0.01517904 BTC,2015/03/18 21:40,V 2
17,348187,BTCC,633,493805,493805,1975220,0.00004430,25 + 0.08750449 BTC,2015/03/18 21:42,V 3
18,348186,Telco 214,452,749202,749202,2996808,0.00002288,25 + 0.06855969 BTC,2015/03/18 21:36,V 2
19,348185,KnCMiner,598,749215,749215,2996860,0.00004427,25 + 0.13267786 BTC,2015/03/18 21:33,V 2
20,348184,KnCMiner,710,749077,749077,2996308,0.00004464,25 + 0.13375286 BTC,2015/03/18 21:31,V 2
21,348183,BW.COM,1330,749063,749063,2996252,0.00006916,25 + 0.20721303 BTC,2015/03/18 21:23,V 2
22,348182,GHash.IO,730,349135,349135,1396540,0.00006526,25 + 0.09113581 BTC,2015/03/18 21:08,V 2
23,348181,BW.COM,2064,749204,749204,2996816,0.00009873,25 + 0.29588927 BTC,2015/03/18 21:02,V 2
24,348180,BTCC,1399,499177,499177,1996708,0.00010142,25 + 0.20251346 BTC,2015/03/18 20:19,V 3
25,348179,F2Pool,165,99940,99940,399760,0.00004665,25 + 0.01864714 BTC,2015/03/18 19:53,V 2
26,348178,AntPool,247,152192,152192,608768,0.00004747,25 + 0.02889883 BTC,2015/03/18 19:53,V 2
27,348177,BW.COM,379,356042,356042,1424168,0.00002638,25 + 0.03756568 BTC,2015/03/18 19:49,V 2
