,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,192962,SlushPool,146,51571,51571,206284,0.00041230,50 + 0.08505000 BTC,2012/08/08 23:54,V 1
2,192961,unknown,1383,499262,499262,1997048,0.00025142,50 + 0.50210002 BTC,2012/08/08 23:47,V 1
3,192960,BitMinter,107,33337,33337,133348,0.00023322,50 + 0.03110000 BTC,2012/08/08 23:40,V 1
4,192959,unknown,495,185967,185967,743868,0.00037791,50 + 0.28111683 BTC,2012/08/08 23:30,V 1
5,192958,unknown,424,205583,205583,822332,0.00121220,50 + 0.99682867 BTC,2012/08/08 23:15,V 1
6,192957,unknown,10,3523,3523,14092,0.03555563,50 + 0.50105000 BTC,2012/08/08 23:02,V 1
7,192956,SlushPool,56,35774,35774,143096,0.00023830,50 + 0.03410001 BTC,2012/08/08 22:53,V 1
8,192955,SlushPool,683,290297,290297,1161188,0.00045990,50 + 0.53402500 BTC,2012/08/08 22:50,V 1
9,192954,unknown,196,63216,63216,252864,0.00046942,50 + 0.11870000 BTC,2012/08/08 22:47,V 1
10,192953,BTC Guild,397,113102,113102,452408,0.00040450,50 + 0.18300000 BTC,2012/08/08 22:22,V 1
11,192952,unknown,871,249373,249373,997492,0.00002158,50 + 0.02152500 BTC,2012/08/08 22:16,V 1
12,192951,MaxBTC,506,270371,270371,1081484,0.00036522,50 + 0.39497600 BTC,2012/08/08 22:10,V 1
13,192950,unknown,12,3159,3159,12636,0.00011871,50 + 0.00150000 BTC,2012/08/08 21:17,V 1
14,192949,unknown,160,50766,50766,203064,0.00016847,50 + 0.03420943 BTC,2012/08/08 21:11,V 1
15,192948,unknown,41,19416,19416,77664,0.00029518,50 + 0.02292500 BTC,2012/08/08 21:00,V 1
16,192947,unknown,54,20156,20156,80624,0.00014884,50 + 0.01200000 BTC,2012/08/08 20:59,V 1
17,192946,BitMinter,48,19835,19835,79340,0.00165774,50 + 0.13152500 BTC,2012/08/08 21:04,V 1
18,192945,OzCoin,133,65364,65364,261456,0.00029263,50 + 0.07651000 BTC,2012/08/08 20:49,V 1
19,192944,unknown,53,17664,17664,70656,0.00019814,50 + 0.01400000 BTC,2012/08/08 20:46,V 1
20,192943,unknown,393,183322,183322,733288,0.00037038,50 + 0.27159217 BTC,2012/08/08 20:44,V 1
21,192942,unknown,70,23845,23845,95380,0.00006710,50 + 0.00640000 BTC,2012/08/08 20:24,V 1
22,192941,unknown,525,201824,201824,807296,0.00036954,50 + 0.29832810 BTC,2012/08/08 20:24,V 1
23,192940,BitMinter,406,135633,135633,542532,0.00038050,50 + 0.20643340 BTC,2012/08/08 20:15,V 1
24,192939,unknown,873,252394,252394,1009576,0.00003972,50 + 0.04010000 BTC,2012/08/08 20:03,V 1
25,192938,BTC Guild,241,128546,128546,514184,0.00044731,50 + 0.23000000 BTC,2012/08/08 19:59,V 1
26,192937,unknown,9,3484,3484,13936,0.00003588,50 + 0.00050000 BTC,2012/08/08 19:41,V 1
27,192936,OzCoin,85,39239,39239,156956,0.00032875,50 + 0.05160000 BTC,2012/08/08 19:34,V 1
28,192935,unknown,79,21937,21937,87748,0.00006382,50 + 0.00560000 BTC,2012/08/08 19:31,V 1
29,192934,unknown,256,107813,107813,431252,0.00028316,50 + 0.12211492 BTC,2012/08/08 19:30,V 1
30,192933,unknown,10,3577,3577,14308,0.00069891,50 + 0.01000000 BTC,2012/08/08 19:31,V 1
31,192932,OzCoin,417,166672,166672,666688,0.00040075,50 + 0.26717500 BTC,2012/08/08 19:15,V 1
32,192931,Eligius,32,10464,10464,41856,0.00000000,50 + 0.00000000 BTC,2012/08/08 19:13,V 1
33,192930,BitMinter,92,39866,39866,159464,0.00028909,50 + 0.04610000 BTC,2012/08/08 19:16,V 1
34,192929,unknown,512,245324,245324,981296,0.00025945,50 + 0.25460000 BTC,2012/08/08 18:54,V 1
35,192928,unknown,97,34567,34567,138268,0.00007744,50 + 0.01070784 BTC,2012/08/08 18:51,V 1
36,192927,unknown,672,255603,255603,1022412,0.00036751,50 + 0.37575000 BTC,2012/08/08 18:48,V 1
37,192926,unknown,117,46788,46788,187152,0.00013171,50 + 0.02465001 BTC,2012/08/08 18:18,V 1
