,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,468627,Bixin,1747,998098,998098,3992392,0.00044541,12.5 + 1.77825613 BTC,2017/05/28 23:56,
2,468626,BitClub,1849,998320,998320,3993280,0.00069897,12.5 + 2.79116307 BTC,2017/05/28 23:53,V 4
3,468625,F2Pool,2349,999840,999840,3999360,0.00081135,12.5 + 3.24486588 BTC,2017/05/28 23:41,SW
4,468624,BTC.TOP,786,999160,999160,3996640,0.00032131,12.5 + 1.28415254 BTC,2017/05/28 23:26,
5,468623,CANOE,1385,999146,999146,3996584,0.00033889,12.5 + 1.35439299 BTC,2017/05/28 23:24,
6,468622,1Hash,2013,998114,998114,3992456,0.00064768,12.5 + 2.58584996 BTC,2017/05/28 23:21,
7,468621,AntPool,2428,998199,998199,3992796,0.00087748,12.5 + 3.50359116 BTC,2017/05/28 23:19,
8,468620,BTCC,685,989130,989130,3956520,0.00031556,12.5 + 1.24852423 BTC,2017/05/28 22:51,SW
9,468619,1Hash,988,998249,998249,3992996,0.00043560,12.5 + 1.73935038 BTC,2017/05/28 22:49,
10,468618,BTC.TOP,2550,999143,999143,3996572,0.00086289,12.5 + 3.44859001 BTC,2017/05/28 22:47,
11,468617,Bixin,1089,998089,998089,3992356,0.00036969,12.5 + 1.47591677 BTC,2017/05/28 22:26,
12,468616,AntPool,1622,998220,998220,3992880,0.00046209,12.5 + 1.84507593 BTC,2017/05/28 22:25,
13,468615,AntPool,1388,998099,998099,3992396,0.00046669,12.5 + 1.86321018 BTC,2017/05/28 22:20,
14,468614,SlushPool,2127,998173,998173,3992692,0.00075502,12.5 + 3.01456658 BTC,2017/05/28 22:17,V 4
15,468613,BTC.com,1,238,238,952,0.00000000,12.5 + 0.00000000 BTC,2017/05/28 22:07,
16,468612,ViaBTC,1,263,263,1052,0.00000000,12.5 + 0.00000000 BTC,2017/05/28 22:07,
17,468611,BTC.TOP,2108,999055,999055,3996220,0.00050904,12.5 + 2.03421829 BTC,2017/05/28 22:06,
18,468610,BTC.TOP,2240,999047,999047,3996188,0.00090227,12.5 + 3.60564984 BTC,2017/05/28 22:04,
19,468609,F2Pool,1465,999981,999981,3999924,0.00038356,12.5 + 1.53420437 BTC,2017/05/28 21:45,SW
20,468608,SlushPool,2290,998143,998143,3992572,0.00072889,12.5 + 2.91016519 BTC,2017/05/28 21:44,SW
21,468607,AntPool,2325,998188,998188,3992752,0.00079706,12.5 + 3.18244796 BTC,2017/05/28 21:34,
22,468606,BitClub,1913,998223,998223,3992892,0.00062346,12.5 + 2.48940002 BTC,2017/05/28 21:24,V 4
23,468605,BW.COM,1381,998068,998068,3992272,0.00071743,12.5 + 2.86416810 BTC,2017/05/28 21:23,
24,468604,F2Pool,1655,999995,999995,3999980,0.00067594,12.5 + 2.70374204 BTC,2017/05/28 21:12,SW
25,468603,AntPool,1921,998240,998240,3992960,0.00073124,12.5 + 2.91981873 BTC,2017/05/28 21:11,
26,468602,AntPool,1757,998146,998146,3992584,0.00075731,12.5 + 3.02362510 BTC,2017/05/28 21:05,
27,468601,SlushPool,2645,998232,998232,3992928,0.00084514,12.5 + 3.37458730 BTC,2017/05/28 20:59,SW
28,468600,AntPool,2584,998181,998181,3992724,0.00093317,12.5 + 3.72588467 BTC,2017/05/28 20:53,
29,468599,BTCC,2143,989102,989102,3956408,0.00061025,12.5 + 2.41439419 BTC,2017/05/28 20:14,SW
30,468598,Bixin,2285,998095,998095,3992380,0.00094210,12.5 + 3.76121797 BTC,2017/05/28 20:12,
31,468597,Bixin,2700,998159,998159,3992636,0.00078907,12.5 + 3.15045667 BTC,2017/05/28 19:53,
32,468596,BTC.TOP,2219,998980,998980,3995920,0.00105642,12.5 + 4.22136092 BTC,2017/05/28 19:52,
33,468595,BW.COM,1264,998047,998047,3992188,0.00093030,12.5 + 3.71392880 BTC,2017/05/28 19:29,
34,468594,BW.COM,1828,998123,998123,3992492,0.00071123,12.5 + 2.83957562 BTC,2017/05/28 19:06,
35,468593,F2Pool,2608,999905,999905,3999620,0.00079305,12.5 + 3.17189922 BTC,2017/05/28 18:56,SW
36,468592,AntPool,2912,998210,998210,3992840,0.00086261,12.5 + 3.44425728 BTC,2017/05/28 18:45,
37,468591,SlushPool,2552,998191,998191,3992764,0.00071665,12.5 + 2.86141282 BTC,2017/05/28 18:26,SW
38,468590,Bixin,1675,998090,998090,3992360,0.00035374,12.5 + 1.41224871 BTC,2017/05/28 18:14,
39,468589,Bixin,1090,998036,998036,3992144,0.00032332,12.5 + 1.29075668 BTC,2017/05/28 18:12,
40,468588,F2Pool,2450,999969,999969,3999876,0.00072864,12.5 + 2.91446545 BTC,2017/05/28 18:11,SW
41,468587,BitFury,1376,998239,998239,3992956,0.00051029,12.5 + 2.03755771 BTC,2017/05/28 18:03,SW
42,468586,BTCC,2014,989109,989109,3956436,0.00049110,12.5 + 1.94299591 BTC,2017/05/28 17:53,SW
43,468585,BW.COM,2114,998166,998166,3992664,0.00059508,12.5 + 2.37595637 BTC,2017/05/28 17:49,
44,468584,BTCC,2261,989095,989095,3956380,0.00070053,12.5 + 2.77155715 BTC,2017/05/28 17:42,SW
45,468583,AntPool,1127,998091,998091,3992364,0.00033825,12.5 + 1.35042338 BTC,2017/05/28 17:34,
46,468582,F2Pool,2405,999814,999814,3999256,0.00076721,12.5 + 3.06825419 BTC,2017/05/28 17:33,SW
47,468581,BTC.com,1830,998214,998214,3992856,0.00065370,12.5 + 2.61011685 BTC,2017/05/28 17:23,
48,468580,BTCC,2533,989195,989195,3956780,0.00074378,12.5 + 2.94298705 BTC,2017/05/28 17:21,SW
49,468579,BTC.TOP,2126,999158,999158,3996632,0.00096696,12.5 + 3.86457524 BTC,2017/05/28 17:17,
50,468578,BTC.TOP,2489,998987,998987,3995948,0.00094823,12.5 + 3.78905993 BTC,2017/05/28 17:03,
51,468577,AntPool,1956,998109,998109,3992436,0.00061149,12.5 + 2.44133577 BTC,2017/05/28 16:41,
52,468576,CANOE,1848,999162,999162,3996648,0.00057081,12.5 + 2.28130671 BTC,2017/05/28 16:33,
53,468575,BitFury,1699,998108,998108,3992432,0.00049355,12.5 + 1.97045007 BTC,2017/05/28 16:26,SW
54,468574,BTC.TOP,1083,999172,999172,3996688,0.00045283,12.5 + 1.80980347 BTC,2017/05/28 16:21,
55,468573,BTCC,1954,989106,989106,3956424,0.00076474,12.5 + 3.02565250 BTC,2017/05/28 16:18,SW
56,468572,SlushPool,2113,998206,998206,3992824,0.00058754,12.5 + 2.34594187 BTC,2017/05/28 16:10,SW
57,468571,AntPool,1372,998167,998167,3992668,0.00042529,12.5 + 1.69803574 BTC,2017/05/28 16:04,
58,468570,1Hash,1,260,260,1040,0.00000000,12.5 + 0.00000000 BTC,2017/05/28 16:11,
59,468569,BW.COM,1922,998123,998123,3992492,0.00067605,12.5 + 2.69910589 BTC,2017/05/28 16:01,
60,468568,BATPOOL,2258,998084,998084,3992336,0.00071895,12.5 + 2.87028534 BTC,2017/05/28 15:55,
61,468567,Bixin,2007,998033,998033,3992132,0.00068765,12.5 + 2.74518839 BTC,2017/05/28 15:46,
62,468566,BATPOOL,2127,998153,998153,3992612,0.00074947,12.5 + 2.99233635 BTC,2017/05/28 15:39,
63,468565,AntPool,2359,998045,998045,3992180,0.00074399,12.5 + 2.97013500 BTC,2017/05/28 15:31,
64,468564,AntPool,1594,998252,998252,3993008,0.00061122,12.5 + 2.44059276 BTC,2017/05/28 15:19,
65,468563,BTCC,1948,989243,989243,3956972,0.00078356,12.5 + 3.10051087 BTC,2017/05/28 15:13,SW
66,468562,SlushPool,1608,998145,998145,3992580,0.00053684,12.5 + 2.14337860 BTC,2017/05/28 15:04,SW
67,468561,BTC.com,2519,998196,998196,3992784,0.00082300,12.5 + 3.28604203 BTC,2017/05/28 14:58,
68,468560,BW.COM,1539,998208,998208,3992832,0.00058193,12.5 + 2.32353423 BTC,2017/05/28 14:44,
69,468559,1Hash,1693,998171,998171,3992684,0.00060774,12.5 + 2.42652207 BTC,2017/05/28 14:35,
70,468558,BTC.com,1423,998106,998106,3992424,0.00039412,12.5 + 1.57351224 BTC,2017/05/28 14:29,
71,468557,BTC.com,1986,998283,998283,3993132,0.00047688,12.5 + 1.90424007 BTC,2017/05/28 14:27,
72,468556,BTCC,1918,989131,989131,3956524,0.00069238,12.5 + 2.73942977 BTC,2017/05/28 14:25,SW
73,468555,AntPool,2455,998156,998156,3992624,0.00076886,12.5 + 3.06975365 BTC,2017/05/28 14:21,
74,468554,AntPool,2521,998185,998185,3992740,0.00071800,12.5 + 2.86679735 BTC,2017/05/28 14:14,
75,468553,BTC.com,2569,998203,998203,3992812,0.00103500,12.5 + 4.13256072 BTC,2017/05/28 14:07,
76,468552,BitClub,1367,998215,998215,3992860,0.00041384,12.5 + 1.65238919 BTC,2017/05/28 13:21,V 4
77,468551,SlushPool,2463,998212,998212,3992848,0.00088034,12.5 + 3.51507488 BTC,2017/05/28 13:21,
78,468550,ViaBTC,1704,999167,999167,3996668,0.00063825,12.5 + 2.55088910 BTC,2017/05/28 13:03,
79,468549,F2Pool,2266,999907,999907,3999628,0.00058458,12.5 + 2.33812112 BTC,2017/05/28 12:55,SW
80,468548,BitFury,923,998122,998122,3992488,0.00045814,12.5 + 1.82913040 BTC,2017/05/28 12:47,SW
81,468547,BitFury,2048,998199,998199,3992796,0.00068234,12.5 + 2.72446093 BTC,2017/05/28 12:42,SW
82,468546,BTC.TOP,1821,999162,999162,3996648,0.00108818,12.5 + 4.34908650 BTC,2017/05/28 12:41,
83,468545,BTC.TOP,1833,999131,999131,3996524,0.00075746,12.5 + 3.02720473 BTC,2017/05/28 12:16,
84,468544,KanoPool,2510,988110,988110,3952440,0.00061807,12.5 + 2.44288014 BTC,2017/05/28 12:09,
85,468543,BTC.TOP,3099,998986,998986,3995944,0.00058414,12.5 + 2.33420515 BTC,2017/05/28 12:01,
86,468542,Bitcoin.com,3658,999063,999063,3996252,0.00035069,12.5 + 1.40142751 BTC,2017/05/28 11:54,
87,468541,BTCC,2329,989211,989211,3956844,0.00081896,12.5 + 3.24048665 BTC,2017/05/28 11:52,SW
88,468540,ViaBTC,2633,999006,999006,3996024,0.00060847,12.5 + 2.43147982 BTC,2017/05/28 11:36,
89,468539,BitClub,3936,998170,998170,3992680,0.00032589,12.5 + 1.30117925 BTC,2017/05/28 11:28,V 4
90,468538,ViaBTC,1644,999066,999066,3996264,0.00034390,12.5 + 1.37432097 BTC,2017/05/28 11:27,
91,468537,SlushPool,570,998234,998234,3992936,0.00034806,12.5 + 1.38977442 BTC,2017/05/28 11:25,SW
92,468536,BTCC,2208,989121,989121,3956484,0.00072451,12.5 + 2.86652836 BTC,2017/05/28 11:24,SW
93,468535,AntPool,521,998236,998236,3992944,0.00032655,12.5 + 1.30388904 BTC,2017/05/28 11:10,
94,468534,Bixin,690,998129,998129,3992516,0.00042710,12.5 + 1.70522043 BTC,2017/05/28 11:09,
95,468533,BitFury,1191,998224,998224,3992896,0.00057880,12.5 + 2.31110229 BTC,2017/05/28 11:07,SW
96,468532,GBMiners,279,999239,999239,3996956,0.00052256,12.5 + 2.08866118 BTC,2017/05/28 11:01,
97,468531,Waterhole,850,998226,998226,3992904,0.00072042,12.5 + 2.87656073 BTC,2017/05/28 10:59,
98,468530,BitClub,1540,998186,998186,3992744,0.00060030,12.5 + 2.39686378 BTC,2017/05/28 10:54,V 4
99,468529,7pool,1219,998193,998193,3992772,0.00049333,12.5 + 1.96976098 BTC,2017/05/28 10:45,
100,468528,ConnectBTC,2328,998116,998116,3992464,0.00077503,12.5 + 3.09426217 BTC,2017/05/28 10:41,
101,468527,BTCC,1069,989239,989239,3956956,0.00038202,12.5 + 1.51161902 BTC,2017/05/28 10:25,SW
102,468526,BTC.TOP,1436,999173,999173,3996692,0.00038443,12.5 + 1.53646381 BTC,2017/05/28 10:23,
103,468525,BW.COM,2136,998042,998042,3992168,0.00074171,12.5 + 2.96103660 BTC,2017/05/28 10:22,
104,468524,Bixin,2056,998011,998011,3992044,0.00068717,12.5 + 2.74320113 BTC,2017/05/28 10:06,
105,468523,BitFury,861,998106,998106,3992424,0.00044346,12.5 + 1.77047004 BTC,2017/05/28 09:59,SW
106,468522,BTC.TOP,2027,999116,999116,3996464,0.00065745,12.5 + 2.62746076 BTC,2017/05/28 09:56,
107,468521,SlushPool,2405,998105,998105,3992420,0.00086797,12.5 + 3.46531374 BTC,2017/05/28 09:55,V 4
108,468520,F2Pool,2588,999946,999946,3999784,0.00085600,12.5 + 3.42379948 BTC,2017/05/28 09:37,SW
109,468519,BTC.com,2557,998109,998109,3992436,0.00082636,12.5 + 3.29920130 BTC,2017/05/28 09:16,
110,468518,BTCC,2489,989216,989216,3956864,0.00096463,12.5 + 3.81690965 BTC,2017/05/28 09:01,SW
