,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,209435,EclipseMC,305,243741,243741,974964,0.00031458,50 + 0.30670000 BTC,2012/11/24 23:58,V 2
2,209434,unknown,255,152606,152606,610424,0.00037662,50 + 0.22990000 BTC,2012/11/24 23:57,V 2
3,209433,unknown,144,49041,49041,196164,0.00046102,50 + 0.09043639 BTC,2012/11/24 23:53,V 1
4,209432,unknown,200,71499,71499,285996,0.00078144,50 + 0.22349000 BTC,2012/11/24 23:39,V 1
5,209431,unknown,355,185134,185134,740536,0.00056176,50 + 0.41600000 BTC,2012/11/24 23:33,V 1
6,209430,unknown,193,48991,48991,195964,0.00002756,50 + 0.00540000 BTC,2012/11/24 22:58,V 1
7,209429,unknown,170,71704,71704,286816,0.00047452,50 + 0.13610000 BTC,2012/11/24 22:57,V 1
8,209428,unknown,177,80263,80263,321052,0.00049836,50 + 0.16000000 BTC,2012/11/24 22:48,V 1
9,209427,unknown,9,3416,3416,13664,0.00117096,50 + 0.01600000 BTC,2012/11/24 22:48,V 1
10,209426,unknown,170,49069,49069,196276,0.00010699,50 + 0.02100000 BTC,2012/11/24 22:46,V 1
11,209425,EclipseMC,362,301984,301984,1207936,0.00027310,50 + 0.32988192 BTC,2012/11/24 22:43,V 2
12,209424,unknown,365,136863,136863,547452,0.00053338,50 + 0.29200000 BTC,2012/11/24 22:38,V 1
13,209423,SlushPool,269,117487,117487,469948,0.00049410,50 + 0.23220000 BTC,2012/11/24 22:27,V 2
14,209422,BitMinter,128,60086,60086,240344,0.00041482,50 + 0.09970000 BTC,2012/11/24 22:29,V 2
15,209421,unknown,230,92300,92300,369200,0.00047427,50 + 0.17510000 BTC,2012/11/24 22:14,V 2
16,209420,unknown,452,213332,213332,853328,0.00048045,50 + 0.40998000 BTC,2012/11/24 22:07,V 1
17,209419,unknown,151,49213,49213,196852,0.00057404,50 + 0.11300000 BTC,2012/11/24 22:01,V 1
18,209418,BTC Guild,351,162507,162507,650028,0.00043306,50 + 0.28150000 BTC,2012/11/24 21:52,V 2
19,209417,unknown,122,50869,50869,203476,0.00025310,50 + 0.05150000 BTC,2012/11/24 21:41,V 1
