,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,350293,SlushPool,203,246414,246414,985656,0.00002591,25 + 0.02553759 BTC,2015/04/01 23:53,V 2
2,350292,AntPool,1780,749211,749211,2996844,0.00007886,25 + 0.23634107 BTC,2015/04/01 23:52,V 2
3,350291,SlushPool,315,334278,334278,1337112,0.00003159,25 + 0.04223408 BTC,2015/04/01 23:29,V 2
4,350290,KnCMiner,1,205,205,820,0.00000000,25 + 0.00000000 BTC,2015/04/01 23:25,V 3
5,350289,KnCMiner,1538,749082,749082,2996328,0.00007536,25 + 0.22579470 BTC,2015/04/01 23:28,V 3
6,350288,unknown,584,286916,286916,1147664,0.00006418,25 + 0.07365672 BTC,2015/04/01 23:03,V 2
7,350287,F2Pool,2228,992542,992542,3970168,0.00007807,25 + 0.30996583 BTC,2015/04/01 22:57,V 2
8,350286,AntPool,790,616520,616520,2466080,0.00004773,25 + 0.11769666 BTC,2015/04/01 22:26,V 2
9,350285,unknown,2068,749157,749157,2996628,0.00009270,25 + 0.27779624 BTC,2015/04/01 22:30,V 2
10,350284,SlushPool,834,432022,432022,1728088,0.00006311,25 + 0.10906793 BTC,2015/04/01 21:51,V 2
11,350283,unknown,1383,623383,623383,2493532,0.00006552,25 + 0.16336893 BTC,2015/04/01 21:51,V 2
12,350282,BTCC,403,297701,297701,1190804,0.00005100,25 + 0.06073674 BTC,2015/04/01 21:29,V 3
13,350281,unknown,1606,749072,749072,2996288,0.00008016,25 + 0.24016895 BTC,2015/04/01 21:28,V 2
14,350280,AntPool,1384,610653,610653,2442612,0.00007978,25 + 0.19486466 BTC,2015/04/01 21:08,V 2
15,350279,BW.COM,1179,749186,749186,2996744,0.00004444,25 + 0.13317446 BTC,2015/04/01 20:56,V 2
16,350278,F2Pool,2368,999823,999823,3999292,0.00008154,25 + 0.32610894 BTC,2015/04/01 20:52,V 2
17,350277,BW.COM,1671,749141,749141,2996564,0.00008619,25 + 0.25826152 BTC,2015/04/01 20:21,V 2
18,350276,unknown,1620,749151,749151,2996604,0.00011587,25 + 0.34721841 BTC,2015/04/01 20:00,V 2
19,350275,unknown,150,107038,107038,428152,0.00003691,25 + 0.01580408 BTC,2015/04/01 19:46,V 2
20,350274,BW.COM,1304,659888,659888,2639552,0.00006786,25 + 0.17911811 BTC,2015/04/01 19:44,V 2
21,350273,F2Pool,946,484801,484801,1939204,0.00006848,25 + 0.13279637 BTC,2015/04/01 19:32,V 2
22,350272,BW.COM,1042,650921,650921,2603684,0.00003795,25 + 0.09881816 BTC,2015/04/01 19:23,V 2
23,350271,BTC Guild,1248,899236,899236,3596944,0.00005436,25 + 0.19553702 BTC,2015/04/01 19:19,V 2
24,350270,Telco 214,2504,749024,749024,2996096,0.00011239,25 + 0.33673538 BTC,2015/04/01 19:13,V 2
25,350269,BTC Guild,417,262927,262927,1051708,0.00006203,25 + 0.06523757 BTC,2015/04/01 18:34,V 2
26,350268,AntPool,768,464802,464802,1859208,0.00005101,25 + 0.09483179 BTC,2015/04/01 18:31,V 2
27,350267,unknown,1188,642432,642432,2569728,0.00006224,25 + 0.15993967 BTC,2015/04/01 18:21,V 2
28,350266,F2Pool,1916,963600,963600,3854400,0.00007475,25 + 0.28811170 BTC,2015/04/01 18:11,V 2
29,350265,F2Pool,288,126426,126426,505704,0.00007176,25 + 0.03628893 BTC,2015/04/01 17:53,V 2
30,350264,BW.COM,255,140238,140238,560952,0.00006459,25 + 0.03623356 BTC,2015/04/01 17:50,V 2
31,350263,BW.COM,1000,507100,507100,2028400,0.00008186,25 + 0.16604104 BTC,2015/04/01 17:48,V 2
32,350262,BW.COM,118,103738,103738,414952,0.00004317,25 + 0.01791433 BTC,2015/04/01 17:39,V 2
33,350261,BW.COM,742,359760,359760,1439040,0.00006631,25 + 0.09542976 BTC,2015/04/01 17:39,V 2
34,350260,BW.COM,1265,682808,682808,2731232,0.00006157,25 + 0.16815437 BTC,2015/04/01 17:31,V 2
35,350259,unknown,414,200558,200558,802232,0.00007260,25 + 0.05824036 BTC,2015/04/01 17:22,V 2
36,350258,unknown,661,344446,344446,1377784,0.00006520,25 + 0.08983019 BTC,2015/04/01 17:24,V 2
37,350257,F2Pool,1280,692206,692206,2768824,0.00006480,25 + 0.17941537 BTC,2015/04/01 17:12,V 2
38,350256,BW.COM,415,223808,223808,895232,0.00005700,25 + 0.05102459 BTC,2015/04/01 17:00,V 2
39,350255,F2Pool,1850,999830,999830,3999320,0.00008186,25 + 0.32738677 BTC,2015/04/01 16:57,V 2
40,350254,AntPool,803,410699,410699,1642796,0.00007264,25 + 0.11932911 BTC,2015/04/01 16:40,V 2
41,350253,BW.COM,491,242300,242300,969200,0.00006114,25 + 0.05926048 BTC,2015/04/01 16:31,V 2
42,350252,F2Pool,643,316441,316441,1265764,0.00004534,25 + 0.05738586 BTC,2015/04/01 16:27,V 2
43,350251,Eligius,879,642784,642784,2571136,0.00007128,25 + 0.18327626 BTC,2015/04/01 16:24,V 2
44,350250,BW.COM,1784,749145,749145,2996580,0.00008513,25 + 0.25511293 BTC,2015/04/01 16:15,V 2
45,350249,BTCC,624,303042,303042,1212168,0.00007384,25 + 0.08951022 BTC,2015/04/01 15:56,V 3
46,350248,F2Pool,585,246979,246979,987916,0.00007705,25 + 0.07611574 BTC,2015/04/01 15:50,V 2
47,350247,KanoPool,137,96797,96797,387188,0.00005387,25 + 0.02085939 BTC,2015/04/01 15:44,V 2
48,350246,unknown,748,368910,368910,1475640,0.00006502,25 + 0.09593993 BTC,2015/04/01 15:43,V 2
49,350245,KnCMiner,874,502023,502023,2008092,0.00006413,25 + 0.12877812 BTC,2015/04/01 15:34,V 3
50,350244,KnCMiner,1009,518140,518140,2072560,0.00006762,25 + 0.14015680 BTC,2015/04/01 15:30,V 3
51,350243,AntPool,350,178801,178801,715204,0.00007705,25 + 0.05510727 BTC,2015/04/01 15:20,V 2
52,350242,BTC Guild,293,154813,154813,619252,0.00007268,25 + 0.04500844 BTC,2015/04/01 15:18,V 2
53,350241,BW.COM,235,114191,114191,456764,0.00005484,25 + 0.02505063 BTC,2015/04/01 15:14,V 2
54,350240,Telco 214,1561,749019,749019,2996076,0.00007073,25 + 0.21190575 BTC,2015/04/01 15:13,V 2
55,350239,AntPool,1008,558881,558881,2235524,0.00004572,25 + 0.10221239 BTC,2015/04/01 14:59,V 2
56,350238,Eligius,1114,740688,740688,2962752,0.00005787,25 + 0.17144626 BTC,2015/04/01 14:55,V 2
57,350237,BTCC,2,430,430,1720,0.00000000,25 + 0.00000000 BTC,2015/04/01 14:48,V 3
58,350236,Polmine,256,157464,157464,629856,0.00006500,25 + 0.04093927 BTC,2015/04/01 15:00,V 2
59,350235,BTCC,2032,749015,749015,2996060,0.00009312,25 + 0.27898453 BTC,2015/04/01 14:45,V 3
60,350234,GHash.IO,204,112776,112776,451104,0.00003745,25 + 0.01689532 BTC,2015/04/01 14:22,V 2
61,350233,KnCMiner,1054,749038,749038,2996152,0.00004524,25 + 0.13555630 BTC,2015/04/01 14:21,V 3
62,350232,unknown,682,749186,749186,2996744,0.00004777,25 + 0.14315398 BTC,2015/04/01 14:14,V 3
63,350231,BitMinter,1637,989244,989244,3956976,0.00005315,25 + 0.21033128 BTC,2015/04/01 14:10,V 3
64,350230,KnCMiner,2108,749237,749237,2996948,0.00011971,25 + 0.35876904 BTC,2015/04/01 13:52,V 3
65,350229,BW.COM,1353,749224,749224,2996896,0.00006491,25 + 0.19451872 BTC,2015/04/01 13:19,V 2
66,350228,SlushPool,1120,741664,741664,2966656,0.00004927,25 + 0.14617471 BTC,2015/04/01 13:04,V 2
67,350227,F2Pool,2150,999852,999852,3999408,0.00007842,25 + 0.31363273 BTC,2015/04/01 12:54,V 2
68,350226,unknown,1049,499445,499445,1997780,0.00006913,25 + 0.13810821 BTC,2015/04/01 12:24,V 2
69,350225,BitMinter,517,502973,502973,2011892,0.00003579,25 + 0.07201532 BTC,2015/04/01 12:14,V 3
70,350224,F2Pool,115,99987,99987,399948,0.00003724,25 + 0.01489307 BTC,2015/04/01 12:08,V 2
71,350223,F2Pool,1000,564388,564388,2257552,0.00005935,25 + 0.13398313 BTC,2015/04/01 12:07,V 2
72,350222,Polmine,256,74999,74999,299996,0.00011248,25 + 0.03374412 BTC,2015/04/01 12:05,V 2
73,350221,F2Pool,439,192798,192798,771192,0.00007568,25 + 0.05836001 BTC,2015/04/01 11:51,V 2
74,350220,F2Pool,1537,786941,786941,3147764,0.00007247,25 + 0.22812213 BTC,2015/04/01 11:46,V 2
75,350219,F2Pool,461,216872,216872,867488,0.00007251,25 + 0.06289899 BTC,2015/04/01 11:26,V 2
76,350218,unknown,419,415743,415743,1662972,0.00004997,25 + 0.08310583 BTC,2015/04/01 11:23,V 2
77,350217,AntPool,1405,686840,686840,2747360,0.00008630,25 + 0.23709515 BTC,2015/04/01 11:17,V 2
78,350216,F2Pool,646,380106,380106,1520424,0.00005973,25 + 0.09080969 BTC,2015/04/01 10:56,V 2
79,350215,F2Pool,1763,924556,924556,3698224,0.00008288,25 + 0.30652545 BTC,2015/04/01 10:48,V 2
80,350214,KnCMiner,148,66028,66028,264112,0.00006439,25 + 0.01700566 BTC,2015/04/01 10:25,V 3
81,350213,BW.COM,1122,546540,546540,2186160,0.00005620,25 + 0.12286099 BTC,2015/04/01 10:22,V 2
82,350212,BTCC,1075,583351,583351,2333404,0.00007177,25 + 0.16747992 BTC,2015/04/01 10:10,V 3
83,350211,BTC Guild,594,433605,433605,1734420,0.00005250,25 + 0.09106539 BTC,2015/04/01 09:54,V 2
84,350210,BitMinter,1063,989217,989217,3956868,0.00004596,25 + 0.18185780 BTC,2015/04/01 09:49,V 3
85,350209,KnCMiner,2374,749239,749239,2996956,0.00012814,25 + 0.38403902 BTC,2015/04/01 09:41,V 3
86,350208,BW.COM,430,240544,240544,962176,0.00005276,25 + 0.05076863 BTC,2015/04/01 08:50,V 2
87,350207,BTCC,505,277704,277704,1110816,0.00005845,25 + 0.06492803 BTC,2015/04/01 08:45,V 3
88,350206,unknown,889,641847,641847,2567388,0.00004316,25 + 0.11079839 BTC,2015/04/01 08:39,V 2
89,350205,KnCMiner,1872,749111,749111,2996444,0.00008388,25 + 0.25133769 BTC,2015/04/01 08:32,V 3
90,350204,unknown,1294,749142,749142,2996568,0.00005910,25 + 0.17710917 BTC,2015/04/01 07:59,V 2
91,350203,MegaBigPower,512,173323,173323,693292,0.00010391,25 + 0.07204211 BTC,2015/04/01 07:43,V 2
92,350202,F2Pool,564,262416,262416,1049664,0.00007456,25 + 0.07826031 BTC,2015/04/01 07:31,V 2
93,350201,KanoPool,844,439354,439354,1757416,0.00006125,25 + 0.10763370 BTC,2015/04/01 07:22,V 2
94,350200,BTCC,247,172127,172127,688508,0.00005347,25 + 0.03681438 BTC,2015/04/01 07:10,V 3
95,350199,AntPool,579,301506,301506,1206024,0.00008048,25 + 0.09705606 BTC,2015/04/01 07:07,V 2
96,350198,SlushPool,260,169387,169387,677548,0.00005022,25 + 0.03402490 BTC,2015/04/01 07:03,V 2
97,350197,KnCMiner,533,281521,281521,1126084,0.00005944,25 + 0.06692997 BTC,2015/04/01 06:56,V 3
98,350196,AntPool,192,128705,128705,514820,0.00004378,25 + 0.02253817 BTC,2015/04/01 06:47,V 2
99,350195,AntPool,677,419909,419909,1679636,0.00005026,25 + 0.08441912 BTC,2015/04/01 06:45,V 2
100,350194,Eligius,302,108923,108923,435692,0.00007812,25 + 0.03403444 BTC,2015/04/01 06:35,V 2
101,350193,BTC Guild,1411,749958,749958,2999832,0.00006846,25 + 0.20536772 BTC,2015/04/01 06:33,V 2
102,350192,AntPool,1380,747961,747961,2991844,0.00005824,25 + 0.17423518 BTC,2015/04/01 06:07,V 2
103,350191,GHash.IO,1661,749118,749118,2996472,0.00007460,25 + 0.22354932 BTC,2015/04/01 05:47,V 2
104,350190,BW.COM,811,469508,469508,1878032,0.00006064,25 + 0.11388886 BTC,2015/04/01 05:19,V 2
105,350189,AntPool,196,113352,113352,453408,0.00004948,25 + 0.02243276 BTC,2015/04/01 05:02,V 2
106,350188,AntPool,226,140476,140476,561904,0.00005180,25 + 0.02910932 BTC,2015/04/01 04:59,V 2
107,350187,BitFury,483,243239,243239,972956,0.00006471,25 + 0.06296372 BTC,2015/04/01 04:56,V 2
108,350186,F2Pool,884,525879,525879,2103516,0.00006085,25 + 0.12799381 BTC,2015/04/01 04:49,V 2
109,350185,BTC Guild,286,211639,211639,846556,0.00005707,25 + 0.04831288 BTC,2015/04/01 04:36,V 2
110,350184,GHash.IO,346,187689,187689,750756,0.00005420,25 + 0.04068907 BTC,2015/04/01 04:32,V 2
111,350183,AntPool,236,206444,206444,825776,0.00004741,25 + 0.03915349 BTC,2015/04/01 04:28,V 2
112,350182,unknown,897,813013,813013,3252052,0.00004154,25 + 0.13508864 BTC,2015/04/01 04:25,V 3
113,350181,AntPool,1009,749209,749209,2996836,0.00004746,25 + 0.14222809 BTC,2015/04/01 04:19,V 2
