,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,174864,MaxBTC,29,10183,10183,40732,0.00038054,50 + 0.01550000 BTC,2012/04/08 23:49,V 1
2,174863,SlushPool,10,12970,12970,51880,0.00000964,50 + 0.00050000 BTC,2012/04/08 23:43,V 1
3,174862,BTC Guild,49,42204,42204,168816,0.00080265,50 + 0.13550010 BTC,2012/04/08 23:37,V 1
4,174861,unknown,13,5764,5764,23056,0.00010843,50 + 0.00250000 BTC,2012/04/08 23:26,V 1
5,174860,NMCbit,59,39699,39699,158796,0.00009131,50 + 0.01450000 BTC,2012/04/08 23:17,V 1
6,174859,Eligius,8,6161,6161,24644,0.00060867,50 + 0.01500000 BTC,2012/04/08 23:11,V 1
7,174858,unknown,47,16840,16840,67360,0.00035878,50 + 0.02416769 BTC,2012/04/08 22:58,V 1
8,174857,unknown,1,223,223,892,0.00000000,50 + 0.00000000 BTC,2012/04/08 22:48,V 1
9,174856,unknown,79,21266,21266,85064,0.00002939,50 + 0.00250000 BTC,2012/04/08 22:47,V 1
10,174855,unknown,18,10986,10986,43944,0.00012516,50 + 0.00550000 BTC,2012/04/08 22:43,V 1
11,174854,unknown,19,22270,22270,89080,0.00011226,50 + 0.01000000 BTC,2012/04/08 22:38,V 1
12,174853,unknown,16,13078,13078,52312,0.00044923,50 + 0.02350000 BTC,2012/04/08 22:31,V 1
13,174852,unknown,56,29895,29895,119580,0.00030942,50 + 0.03700000 BTC,2012/04/08 22:25,V 1
14,174851,unknown,47,18497,18497,73988,0.00034289,50 + 0.02536987 BTC,2012/04/08 22:09,V 1
15,174850,unknown,49,16243,16243,64972,0.00031706,50 + 0.02060000 BTC,2012/04/08 21:58,V 1
16,174849,unknown,11,4979,4979,19916,0.00107953,50 + 0.02150000 BTC,2012/04/08 21:43,V 1
17,174848,unknown,18,15454,15454,61816,0.00008897,50 + 0.00550000 BTC,2012/04/08 21:36,V 1
18,174847,unknown,5,2440,2440,9760,0.00020492,50 + 0.00200000 BTC,2012/04/08 21:33,V 1
19,174846,unknown,5,2873,2873,11492,0.00182736,50 + 0.02100000 BTC,2012/04/08 21:30,V 1
20,174845,unknown,67,27165,27165,108660,0.00017496,50 + 0.01901103 BTC,2012/04/08 21:29,V 1
21,174844,BTC Guild,8,3139,3139,12556,0.00079643,50 + 0.01000000 BTC,2012/04/08 21:19,V 1
22,174843,BTC Guild,20,14817,14817,59268,0.00058210,50 + 0.03450000 BTC,2012/04/08 21:17,V 1
23,174842,unknown,17,4178,4178,16712,0.00122666,50 + 0.02050000 BTC,2012/04/08 21:11,V 1
24,174841,unknown,45,34470,34470,137880,0.00023934,50 + 0.03300000 BTC,2012/04/08 21:12,V 1
25,174840,unknown,47,22334,22334,89336,0.00026144,50 + 0.02335588 BTC,2012/04/08 20:58,V 1
26,174839,unknown,11,3378,3378,13512,0.00007401,50 + 0.00100000 BTC,2012/04/08 20:42,V 1
27,174838,BTC Guild,13,4968,4968,19872,0.00017613,50 + 0.00350000 BTC,2012/04/08 20:37,V 1
28,174837,unknown,22,13333,13333,53332,0.00006563,50 + 0.00350000 BTC,2012/04/08 20:37,V 1
29,174836,unknown,14,3863,3863,15452,0.00016179,50 + 0.00250000 BTC,2012/04/08 20:34,V 1
30,174835,unknown,45,21231,21231,84924,0.00023550,50 + 0.02000000 BTC,2012/04/08 20:25,V 1
31,174834,unknown,67,34231,34231,136924,0.00033814,50 + 0.04630000 BTC,2012/04/08 20:15,V 1
32,174833,OzCoin,64,42647,42647,170588,0.00036052,50 + 0.06150000 BTC,2012/04/08 19:58,V 1
33,174832,OzCoin,59,20711,20711,82844,0.00054923,50 + 0.04550000 BTC,2012/04/08 19:29,V 1
34,174831,BTC Guild,8,2705,2705,10820,0.00018484,50 + 0.00200000 BTC,2012/04/08 19:14,V 1
35,174830,unknown,31,11696,11696,46784,0.00006412,50 + 0.00300000 BTC,2012/04/08 19:15,V 1
36,174829,OzCoin,67,35133,35133,140532,0.00129508,50 + 0.18200000 BTC,2012/04/08 19:12,V 1
37,174828,OzCoin,51,23555,23555,94220,0.00010083,50 + 0.00950000 BTC,2012/04/08 18:49,V 1
38,174827,unknown,28,21159,21159,84636,0.00011175,50 + 0.00945786 BTC,2012/04/08 18:38,V 1
39,174826,BTC Guild,108,53263,53263,213052,0.00021794,50 + 0.04643349 BTC,2012/04/08 18:24,V 1
40,174825,unknown,8,10414,10414,41656,0.00004801,50 + 0.00200000 BTC,2012/04/08 18:05,V 1
41,174824,unknown,84,23369,23369,93476,0.00004814,50 + 0.00450000 BTC,2012/04/08 18:03,V 1
42,174823,unknown,33,11689,11689,46756,0.00012833,50 + 0.00600000 BTC,2012/04/08 17:55,V 1
43,174822,BTC Guild,13,3429,3429,13716,0.00007291,50 + 0.00100000 BTC,2012/04/08 17:48,V 1
44,174821,unknown,19,6508,6508,26032,0.00055701,50 + 0.01450000 BTC,2012/04/08 17:50,V 1
45,174820,unknown,56,22251,22251,89004,0.00011236,50 + 0.01000010 BTC,2012/04/08 17:46,V 1
46,174819,MaxBTC,77,36162,36162,144648,0.00039475,50 + 0.05710000 BTC,2012/04/08 17:32,V 1
47,174818,unknown,85,24953,24953,99812,0.00003006,50 + 0.00300001 BTC,2012/04/08 17:12,V 1
48,174817,unknown,20,16830,16830,67320,0.00009655,50 + 0.00650001 BTC,2012/04/08 17:07,V 1
49,174816,SlushPool,90,37154,37154,148616,0.00023383,50 + 0.03475141 BTC,2012/04/08 17:04,V 1
50,174815,unknown,36,17433,17433,69732,0.00010038,50 + 0.00700000 BTC,2012/04/08 16:45,V 1
51,174814,unknown,12,5372,5372,21488,0.00020942,50 + 0.00450000 BTC,2012/04/08 16:35,V 1
52,174813,unknown,17,9946,9946,39784,0.00059069,50 + 0.02350000 BTC,2012/04/08 16:30,V 1
53,174812,unknown,5,1137,1137,4548,0.00000000,50 + 0.00000000 BTC,2012/04/08 16:24,V 1
54,174811,unknown,6,5259,5259,21036,0.00009508,50 + 0.00200000 BTC,2012/04/08 16:26,V 1
55,174810,unknown,10,3735,3735,14940,0.00023427,50 + 0.00350000 BTC,2012/04/08 16:21,V 1
56,174809,OzCoin,15,18468,18468,73872,0.00014214,50 + 0.01050000 BTC,2012/04/08 16:19,V 1
57,174808,unknown,97,29427,29427,117708,0.00043328,50 + 0.05100000 BTC,2012/04/08 16:17,V 1
58,174807,unknown,23,12144,12144,48576,0.00008235,50 + 0.00400000 BTC,2012/04/08 16:04,V 1
