,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,326689,unknown,370,242384,242384,969536,0.00007223,25 + 0.07002477 BTC,2014/10/23 23:57,V 2
2,326688,GHash.IO,203,118117,118117,472468,0.00006511,25 + 0.03076421 BTC,2014/10/23 23:51,V 2
3,326687,BitFury,705,467051,467051,1868204,0.00006603,25 + 0.12335399 BTC,2014/10/23 23:48,V 2
4,326686,Polmine,256,79018,79018,316072,0.00013231,25 + 0.04181969 BTC,2014/10/23 23:48,V 2
5,326685,unknown,342,180312,180312,721248,0.00007593,25 + 0.05476430 BTC,2014/10/23 23:34,V 2
6,326684,BTC Guild,51,15656,15656,62624,0.00004344,25 + 0.00272055 BTC,2014/10/23 23:27,V 2
7,326683,F2Pool,604,301130,301130,1204520,0.00007876,25 + 0.09487254 BTC,2014/10/23 23:27,V 2
8,326682,GHash.IO,1126,585710,585710,2342840,0.00007846,25 + 0.18381512 BTC,2014/10/23 23:18,V 2
9,326681,BTC Nuggets,690,437350,437350,1749400,0.00006488,25 + 0.11350141 BTC,2014/10/23 23:00,V 2
10,326680,F2Pool,859,942258,942258,3769032,0.00004183,25 + 0.15766528 BTC,2014/10/23 22:50,V 2
11,326679,GHash.IO,1917,749207,749207,2996828,0.00009993,25 + 0.29947439 BTC,2014/10/23 22:48,V 2
12,326678,Polmine,1024,331595,331595,1326380,0.00012874,25 + 0.17076158 BTC,2014/10/23 22:18,V 2
13,326677,F2Pool,272,157454,157454,629816,0.00006034,25 + 0.03800421 BTC,2014/10/23 21:40,V 2
14,326676,F2Pool,499,342564,342564,1370256,0.00006585,25 + 0.09023794 BTC,2014/10/23 21:38,V 2
15,326675,BTC Guild,120,63860,63860,255440,0.00006174,25 + 0.01577155 BTC,2014/10/23 21:31,V 2
16,326674,F2Pool,680,428763,428763,1715052,0.00006295,25 + 0.10796314 BTC,2014/10/23 21:29,V 2
17,326673,unknown,605,408310,408310,1633240,0.00006090,25 + 0.09946442 BTC,2014/10/23 21:22,V 2
18,326672,F2Pool,178,112440,112440,449760,0.00006210,25 + 0.02793193 BTC,2014/10/23 21:12,V 2
19,326671,F2Pool,474,214490,214490,857960,0.00008742,25 + 0.07500405 BTC,2014/10/23 21:09,V 2
20,326670,unknown,1538,749073,749073,2996292,0.00007957,25 + 0.23841719 BTC,2014/10/23 21:01,V 2
21,326669,F2Pool,749,448534,448534,1794136,0.00006237,25 + 0.11189177 BTC,2014/10/23 20:34,V 2
22,326668,Polmine,32,33876,33876,135504,0.00004133,25 + 0.00560088 BTC,2014/10/23 20:24,V 2
