,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,422531,F2Pool,1031,999966,999966,3999864,0.00008424,12.5 + 0.33692951 BTC,2016/07/27 23:51,
2,422530,AntPool,897,998198,998198,3992792,0.00008757,12.5 + 0.34963414 BTC,2016/07/27 23:44,
3,422529,AntPool,2316,998139,998139,3992556,0.00014990,12.5 + 0.59848709 BTC,2016/07/27 23:37,
4,422528,BitFury,1819,998017,998017,3992068,0.00012864,12.5 + 0.51352770 BTC,2016/07/27 23:18,
5,422527,ViaBTC,1765,998249,998249,3992996,0.00012603,12.5 + 0.50322378 BTC,2016/07/27 23:04,
6,422526,AntPool,808,998183,998183,3992732,0.00005711,12.5 + 0.22803855 BTC,2016/07/27 22:52,
7,422525,BTCC,1699,998252,998252,3993008,0.00033127,12.5 + 1.32274551 BTC,2016/07/27 22:48,
8,422524,F2Pool,1317,999970,999970,3999880,0.00006995,12.5 + 0.27979025 BTC,2016/07/27 22:38,
9,422523,BW.COM,975,596556,596556,2386224,0.00011491,12.5 + 0.27419406 BTC,2016/07/27 22:34,
10,422522,1Hash,2527,998034,998034,3992136,0.00016963,12.5 + 0.67717745 BTC,2016/07/27 22:30,
11,422521,AntPool,2306,998019,998019,3992076,0.00011527,12.5 + 0.46017384 BTC,2016/07/27 22:12,
12,422520,AntPool,2305,997975,997975,3991900,0.00013193,12.5 + 0.52666737 BTC,2016/07/27 22:08,
13,422519,SlushPool,2958,998057,998057,3992228,0.00020240,12.5 + 0.80802103 BTC,2016/07/27 22:06,
14,422518,Bixin,1646,998099,998099,3992396,0.00020912,12.5 + 0.83487704 BTC,2016/07/27 21:40,
15,422517,BTCC,2061,998249,998249,3992996,0.00027916,12.5 + 1.11468737 BTC,2016/07/27 21:29,
16,422516,AntPool,13,4135,4135,16540,0.00035586,12.5 + 0.00588588 BTC,2016/07/27 20:41,
17,422515,BitFury,2160,998073,998073,3992292,0.00010979,12.5 + 0.43832045 BTC,2016/07/27 20:41,
18,422514,BitFury,1979,998186,998186,3992744,0.00011609,12.5 + 0.46351741 BTC,2016/07/27 20:33,
19,422513,BitFury,2629,998079,998079,3992316,0.00018793,12.5 + 0.75029486 BTC,2016/07/27 20:25,
20,422512,F2Pool,1917,999883,999883,3999532,0.00011506,12.5 + 0.46016739 BTC,2016/07/27 20:06,
21,422511,Bixin,2663,998212,998212,3992848,0.00018561,12.5 + 0.74112521 BTC,2016/07/27 20:00,
22,422510,BTCC,2286,989145,989145,3956580,0.00009439,12.5 + 0.37345699 BTC,2016/07/27 19:45,
23,422509,F2Pool,2798,999923,999923,3999692,0.00017344,12.5 + 0.69372245 BTC,2016/07/27 19:45,
24,422508,F2Pool,2727,999845,999845,3999380,0.00025335,12.5 + 1.01323283 BTC,2016/07/27 19:36,
25,422507,F2Pool,2700,999936,999936,3999744,0.00017163,12.5 + 0.68645972 BTC,2016/07/27 19:07,
26,422506,F2Pool,2343,999950,999950,3999800,0.00019353,12.5 + 0.77408114 BTC,2016/07/27 18:55,
27,422505,Bixin,1293,998096,998096,3992384,0.00024886,12.5 + 0.99355435 BTC,2016/07/27 18:41,
28,422504,AntPool,2465,998092,998092,3992368,0.00020811,12.5 + 0.83083841 BTC,2016/07/27 18:15,
29,422503,BTCC,2320,998242,998242,3992968,0.00016679,12.5 + 0.66597300 BTC,2016/07/27 17:56,
30,422502,BitClub,1885,998123,998123,3992492,0.00015782,12.5 + 0.63008173 BTC,2016/07/27 17:48,
31,422501,BTCC,2635,998187,998187,3992748,0.00018216,12.5 + 0.72732135 BTC,2016/07/27 17:40,
32,422500,BTCC,2716,998237,998237,3992948,0.00020409,12.5 + 0.81493961 BTC,2016/07/27 17:23,
33,422499,SlushPool,2888,998040,998040,3992160,0.00021228,12.5 + 0.84747375 BTC,2016/07/27 17:01,
34,422498,ViaBTC,529,998192,998192,3992768,0.00004341,12.5 + 0.17332827 BTC,2016/07/27 16:37,
35,422497,Bixin,924,998189,998189,3992756,0.00006952,12.5 + 0.27758685 BTC,2016/07/27 16:36,
36,422496,Bixin,2223,998085,998085,3992340,0.00013470,12.5 + 0.53776027 BTC,2016/07/27 16:31,
37,422495,AntPool,1315,998031,998031,3992124,0.00008433,12.5 + 0.33667153 BTC,2016/07/27 16:20,
38,422494,BW.COM,1427,614808,614808,2459232,0.00015757,12.5 + 0.38750939 BTC,2016/07/27 16:14,
39,422493,AntPool,996,998055,998055,3992220,0.00008624,12.5 + 0.34430187 BTC,2016/07/27 16:07,
40,422492,SlushPool,1158,584324,584324,2337296,0.00011932,12.5 + 0.27887756 BTC,2016/07/27 16:03,
41,422491,F2Pool,1655,999987,999987,3999948,0.00010492,12.5 + 0.41965916 BTC,2016/07/27 15:58,
42,422490,F2Pool,2711,999949,999949,3999796,0.00017608,12.5 + 0.70427822 BTC,2016/07/27 15:51,
43,422489,AntPool,805,998094,998094,3992376,0.00004633,12.5 + 0.18495141 BTC,2016/07/27 15:36,
44,422488,F2Pool,474,999954,999954,3999816,0.00004844,12.5 + 0.19373271 BTC,2016/07/27 15:34,
45,422487,SlushPool,1723,997729,997729,3990916,0.00008546,12.5 + 0.34105918 BTC,2016/07/27 15:36,
46,422486,SlushPool,1090,997516,997516,3990064,0.00007090,12.5 + 0.28289400 BTC,2016/07/27 15:29,
47,422485,F2Pool,2188,999979,999979,3999916,0.00014808,12.5 + 0.59232694 BTC,2016/07/27 15:26,
48,422484,F2Pool,1376,999899,999899,3999596,0.00005917,12.5 + 0.23664153 BTC,2016/07/27 15:15,
49,422483,ViaBTC,1945,997787,997787,3991148,0.00010428,12.5 + 0.41619933 BTC,2016/07/27 15:14,
50,422482,AntPool,13,4153,4153,16612,0.00035255,12.5 + 0.00585651 BTC,2016/07/27 15:09,
51,422481,ViaBTC,1341,998071,998071,3992284,0.00008327,12.5 + 0.33243481 BTC,2016/07/27 15:09,
52,422480,ViaBTC,1844,998245,998245,3992980,0.00010348,12.5 + 0.41318538 BTC,2016/07/27 15:05,
53,422479,BW.COM,2584,998066,998066,3992264,0.00017640,12.5 + 0.70424195 BTC,2016/07/27 15:02,
54,422478,BW.COM,2084,998210,998210,3992840,0.00009108,12.5 + 0.36368349 BTC,2016/07/27 14:47,
55,422477,BTCC,2430,998173,998173,3992692,0.00015315,12.5 + 0.61146566 BTC,2016/07/27 14:45,
56,422476,F2Pool,1965,999901,999901,3999604,0.00014765,12.5 + 0.59054450 BTC,2016/07/27 14:39,
57,422475,Bixin,2583,998141,998141,3992564,0.00016149,12.5 + 0.64474359 BTC,2016/07/27 14:36,
58,422474,KanoPool,2344,987948,987948,3951792,0.00016315,12.5 + 0.64475204 BTC,2016/07/27 14:27,
59,422473,BitFury,2284,997994,997994,3991976,0.00017662,12.5 + 0.70504462 BTC,2016/07/27 14:18,
60,422472,F2Pool,2073,999999,999999,3999996,0.00020394,12.5 + 0.81576528 BTC,2016/07/27 14:10,
61,422471,AntPool,2591,998100,998100,3992400,0.00031585,12.5 + 1.26099146 BTC,2016/07/27 14:04,
62,422470,unknown,501,195576,195576,782304,0.00026868,12.5 + 0.21018898 BTC,2016/07/27 13:07,BIP 109
63,422469,AntPool,2518,998093,998093,3992372,0.00015720,12.5 + 0.62760768 BTC,2016/07/27 13:02,
64,422468,BTCC,2646,998091,998091,3992364,0.00017130,12.5 + 0.68389527 BTC,2016/07/27 12:56,
65,422467,BTCC,2091,998195,998195,3992780,0.00015706,12.5 + 0.62712452 BTC,2016/07/27 12:47,
66,422466,BTCC,2940,998240,998240,3992960,0.00033430,12.5 + 1.33486311 BTC,2016/07/27 12:47,
67,422465,BW.COM,311,196958,196958,787832,0.00008735,12.5 + 0.06881951 BTC,2016/07/27 11:41,
68,422464,F2Pool,2209,999826,999826,3999304,0.00013560,12.5 + 0.54230160 BTC,2016/07/27 11:40,BIP 109
69,422463,BTCC,2166,998085,998085,3992340,0.00018378,12.5 + 0.73369800 BTC,2016/07/27 11:32,
70,422462,BW.COM,2171,998193,998193,3992772,0.00014040,12.5 + 0.56058287 BTC,2016/07/27 11:18,
71,422461,BTCC,2301,998118,998118,3992472,0.00022563,12.5 + 0.90083081 BTC,2016/07/27 11:13,
72,422460,F2Pool,2647,999990,999990,3999960,0.00022828,12.5 + 0.91311329 BTC,2016/07/27 10:52,
73,422459,AntPool,1884,997987,997987,3991948,0.00007886,12.5 + 0.31482410 BTC,2016/07/27 10:28,
74,422458,F2Pool,1722,999980,999980,3999920,0.00013323,12.5 + 0.53291930 BTC,2016/07/27 10:27,
75,422457,KnCMiner,1854,919548,919548,3678192,0.00012665,12.5 + 0.46585933 BTC,2016/07/27 10:24,BIP 109
76,422456,AntPool,14,4111,4111,16444,0.00038028,12.5 + 0.00625333 BTC,2016/07/27 10:18,
77,422455,ViaBTC,2645,998225,998225,3992900,0.00022658,12.5 + 0.90471027 BTC,2016/07/27 10:17,
78,422454,Bixin,1896,998092,998092,3992368,0.00011126,12.5 + 0.44420435 BTC,2016/07/27 09:55,
79,422453,F2Pool,2569,999732,999732,3998928,0.00015435,12.5 + 0.61722630 BTC,2016/07/27 09:52,
80,422452,BTCC,1,266,266,1064,0.00000000,12.5 + 0.00000000 BTC,2016/07/27 09:43,
81,422451,BitFury,1999,998136,998136,3992544,0.00011892,12.5 + 0.47479266 BTC,2016/07/27 09:42,
