,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,436211,F2Pool,1663,845772,845772,3383088,0.00014680,12.5 + 0.49663639 BTC,2016/10/27 23:02,
2,436210,AntPool,2490,998070,998070,3992280,0.00021655,12.5 + 0.86454734 BTC,2016/10/27 22:56,
3,436209,unknown,1887,749072,749072,2996288,0.00013618,12.5 + 0.40802377 BTC,2016/10/27 22:38,
4,436208,BTCC,2692,998111,998111,3992444,0.00028756,12.5 + 1.14808685 BTC,2016/10/27 22:37,
5,436207,F2Pool,974,425359,425359,1701436,0.00019300,12.5 + 0.32838408 BTC,2016/10/27 22:07,
6,436206,BitClub,1335,998272,998272,3993088,0.00009129,12.5 + 0.36453370 BTC,2016/10/27 22:02,
7,436205,AntPool,1421,620821,620821,2483284,0.00018696,12.5 + 0.46427739 BTC,2016/10/27 21:56,
8,436204,AntPool,894,998093,998093,3992372,0.00005822,12.5 + 0.23244333 BTC,2016/10/27 21:47,
9,436203,AntPool,1112,998077,998077,3992308,0.00003513,12.5 + 0.14026281 BTC,2016/10/27 21:44,
10,436202,F2Pool,978,999901,999901,3999604,0.00005519,12.5 + 0.22072362 BTC,2016/10/27 21:42,
11,436201,BitClub,1466,998256,998256,3993024,0.00005442,12.5 + 0.21730753 BTC,2016/10/27 21:40,
12,436200,F2Pool,1612,999973,999973,3999892,0.00011752,12.5 + 0.47007006 BTC,2016/10/27 21:38,
13,436199,SlushPool,1034,998199,998199,3992796,0.00007448,12.5 + 0.29739364 BTC,2016/10/27 21:33,
14,436198,SlushPool,810,998194,998194,3992776,0.00005834,12.5 + 0.23294068 BTC,2016/10/27 21:29,
15,436197,F2Pool,1356,999924,999924,3999696,0.00010580,12.5 + 0.42316335 BTC,2016/10/27 21:26,
16,436196,BTCC,1803,998261,998261,3993044,0.00014833,12.5 + 0.59227169 BTC,2016/10/27 21:21,
17,436195,KanoPool,1141,988114,988114,3952456,0.00005790,12.5 + 0.22884414 BTC,2016/10/27 21:13,
18,436194,F2Pool,964,999860,999860,3999440,0.00008263,12.5 + 0.33047746 BTC,2016/10/27 21:12,
19,436193,BitClub,1846,998184,998184,3992736,0.00014574,12.5 + 0.58191695 BTC,2016/10/27 21:09,
20,436192,AntPool,1232,998067,998067,3992268,0.00012079,12.5 + 0.48221001 BTC,2016/10/27 21:03,
21,436191,Bixin,1801,998069,998069,3992276,0.00011453,12.5 + 0.45722928 BTC,2016/10/27 20:57,
22,436190,F2Pool,2563,999790,999790,3999160,0.00022865,12.5 + 0.91442782 BTC,2016/10/27 20:52,
23,436189,BTCC,1563,998150,998150,3992600,0.00014335,12.5 + 0.57235740 BTC,2016/10/27 20:34,
24,436188,AntPool,1157,998187,998187,3992748,0.00004609,12.5 + 0.18402339 BTC,2016/10/27 20:26,
25,436187,BTCC,2073,998083,998083,3992332,0.00019436,12.5 + 0.77596411 BTC,2016/10/27 20:25,
26,436186,F2Pool,2087,999931,999931,3999724,0.00011223,12.5 + 0.44889779 BTC,2016/10/27 20:17,
27,436185,AntPool,2237,997764,997764,3991056,0.00015050,12.5 + 0.60066493 BTC,2016/10/27 20:15,
28,436184,AntPool,2257,998209,998209,3992836,0.00012074,12.5 + 0.48209171 BTC,2016/10/27 20:07,
29,436183,AntPool,2595,998049,998049,3992196,0.00022447,12.5 + 0.89612321 BTC,2016/10/27 20:02,
30,436182,F2Pool,1627,999981,999981,3999924,0.00006743,12.5 + 0.26971355 BTC,2016/10/27 19:46,BIP 109
31,436181,F2Pool,1789,999960,999960,3999840,0.00015745,12.5 + 0.62978838 BTC,2016/10/27 19:45,
32,436180,BW.COM,1580,998135,998135,3992540,0.00014129,12.5 + 0.56410209 BTC,2016/10/27 19:37,
33,436179,BW.COM,1841,998172,998172,3992688,0.00015646,12.5 + 0.62468726 BTC,2016/10/27 19:30,
