,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,260478,BTC Guild,240,149248,149248,596992,0.00018564,25 + 0.11082642 BTC,2013/09/27 23:55,V 2
2,260477,BTC Guild,141,54057,54057,216228,0.00034223,25 + 0.07400000 BTC,2013/09/27 23:49,V 2
3,260476,BTC Guild,129,149209,149209,596836,0.00009835,25 + 0.05870000 BTC,2013/09/27 23:45,V 2
4,260475,BitMinter,59,24335,24335,97340,0.00011198,25 + 0.01090000 BTC,2013/09/27 23:50,V 2
5,260474,GHash.IO,335,199050,199050,796200,0.00012777,25 + 0.10172659 BTC,2013/09/27 23:42,V 2
6,260473,GHash.IO,656,249214,249214,996856,0.00031549,25 + 0.31450000 BTC,2013/09/27 23:37,V 2
7,260472,F2Pool,265,103390,103390,413560,0.00042316,25 + 0.17500000 BTC,2013/09/27 23:07,V 2
8,260471,Eligius,439,202663,202663,810652,0.00031129,25 + 0.25234851 BTC,2013/09/27 23:06,V 2
9,260470,BTC Guild,578,289637,289637,1158548,0.00012472,25 + 0.14449854 BTC,2013/09/27 22:47,V 2
10,260469,EclipseMC,512,181129,181129,724516,0.00043684,25 + 0.31650000 BTC,2013/09/27 22:46,V 2
11,260468,50BTC,90,33565,33565,134260,0.00104722,25 + 0.14060000 BTC,2013/09/27 22:07,V 2
12,260467,GHash.IO,348,151379,151379,605516,0.00042179,25 + 0.25540000 BTC,2013/09/27 22:05,V 2
13,260466,50BTC,137,56229,56229,224916,0.00012983,25 + 0.02920000 BTC,2013/09/27 21:58,V 2
14,260465,unknown,627,269599,269599,1078396,0.00032762,25 + 0.35330000 BTC,2013/09/27 21:56,V 2
15,260464,BTC Guild,97,98846,98846,395384,0.00017857,25 + 0.07060323 BTC,2013/09/27 21:40,V 2
16,260463,GHash.IO,137,118238,118238,472952,0.00013322,25 + 0.06300713 BTC,2013/09/27 21:38,V 2
17,260462,BTC Guild,345,142742,142742,570968,0.00037863,25 + 0.21618396 BTC,2013/09/27 21:37,V 2
18,260461,GHash.IO,526,249189,249189,996756,0.00036706,25 + 0.36587406 BTC,2013/09/27 21:33,V 2
19,260460,GHash.IO,613,248908,248908,995632,0.00034637,25 + 0.34486012 BTC,2013/09/27 21:22,V 2
20,260459,BTC Guild,140,58367,58367,233468,0.00011141,25 + 0.02601000 BTC,2013/09/27 21:04,V 2
21,260458,50BTC,558,249054,249054,996216,0.00034424,25 + 0.34294065 BTC,2013/09/27 21:04,V 2
22,260457,Eligius,175,72650,72650,290600,0.00035619,25 + 0.10351000 BTC,2013/09/27 20:49,V 2
23,260456,BTC Guild,351,169234,169234,676936,0.00032033,25 + 0.21684259 BTC,2013/09/27 20:44,V 2
24,260455,Bitparking,105,34941,34941,139764,0.00016601,25 + 0.02320200 BTC,2013/09/27 20:35,V 2
25,260454,BTC Guild,1063,499038,499038,1996152,0.00019814,25 + 0.39550901 BTC,2013/09/27 20:34,V 2
26,260453,unknown,797,256624,256624,1026496,0.00071071,25 + 0.72954000 BTC,2013/09/27 20:23,V 2
