,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,342779,BTCC,355,148145,148145,592580,0.00008383,25 + 0.04967660 BTC,2015/02/09 23:58,V 2
2,342778,unknown,1889,749093,749093,2996372,0.00009022,25 + 0.27032615 BTC,2015/02/09 23:50,V 2
3,342777,BW.COM,641,302701,302701,1210804,0.00006510,25 + 0.07881773 BTC,2015/02/09 23:15,V 2
4,342776,AntPool,559,263308,263308,1053232,0.00006363,25 + 0.06702201 BTC,2015/02/09 23:08,V 2
5,342775,F2Pool,271,124917,124917,499668,0.00007195,25 + 0.03594914 BTC,2015/02/09 23:02,V 2
6,342774,KnCMiner,754,366346,366346,1465384,0.00006207,25 + 0.09095582 BTC,2015/02/09 22:57,V 2
7,342773,KnCMiner,399,268232,268232,1072928,0.00005358,25 + 0.05748782 BTC,2015/02/09 22:54,V 2
8,342772,GHash.IO,551,287593,287593,1150372,0.00006541,25 + 0.07524779 BTC,2015/02/09 22:47,V 2
9,342771,F2Pool,267,137681,137681,550724,0.00009001,25 + 0.04957091 BTC,2015/02/09 22:40,V 2
10,342770,AntPool,587,321722,321722,1286888,0.00006054,25 + 0.07791229 BTC,2015/02/09 22:37,V 2
11,342769,BTCC,21,13612,13612,54448,0.00004966,25 + 0.00270365 BTC,2015/02/09 22:33,V 2
12,342768,BW.COM,849,460757,460757,1843028,0.00005979,25 + 0.11019695 BTC,2015/02/09 22:32,V 2
13,342767,KnCMiner,272,144315,144315,577260,0.00005139,25 + 0.02966398 BTC,2015/02/09 22:28,V 2
14,342766,AntPool,572,566716,566716,2266864,0.00004211,25 + 0.09545971 BTC,2015/02/09 22:24,V 2
15,342765,Eligius,1290,898325,898325,3593300,0.00005390,25 + 0.19367368 BTC,2015/02/09 22:22,V 2
16,342764,F2Pool,2329,999903,999903,3999612,0.00007675,25 + 0.30696079 BTC,2015/02/09 22:16,V 2
17,342763,BW.COM,739,430947,430947,1723788,0.00005604,25 + 0.09660258 BTC,2015/02/09 21:53,V 2
18,342762,F2Pool,318,143144,143144,572576,0.00006533,25 + 0.03740671 BTC,2015/02/09 21:48,V 2
19,342761,unknown,384,195444,195444,781776,0.00006343,25 + 0.04958479 BTC,2015/02/09 21:45,V 2
20,342760,KnCMiner,554,369107,369107,1476428,0.00005440,25 + 0.08031081 BTC,2015/02/09 21:42,V 2
21,342759,unknown,256,162357,162357,649428,0.00006109,25 + 0.03967205 BTC,2015/02/09 21:46,V 2
22,342758,F2Pool,1946,999748,999748,3998992,0.00006004,25 + 0.24010574 BTC,2015/02/09 21:35,V 2
23,342757,BTCC,685,281213,281213,1124852,0.00010386,25 + 0.11683056 BTC,2015/02/09 21:27,V 2
24,342756,Telco 214,928,449653,449653,1798612,0.00006938,25 + 0.12478835 BTC,2015/02/09 21:08,V 2
25,342755,BW.COM,203,156254,156254,625016,0.00003499,25 + 0.02186923 BTC,2015/02/09 21:01,V 2
26,342754,BTC Guild,275,122167,122167,488668,0.00007660,25 + 0.03743354 BTC,2015/02/09 21:00,V 2
27,342753,AntPool,1297,748940,748940,2995760,0.00005539,25 + 0.16594660 BTC,2015/02/09 20:57,V 2
28,342752,BTCC,365,162799,162799,651196,0.00009116,25 + 0.05936584 BTC,2015/02/09 20:51,V 2
29,342751,F2Pool,2400,999957,999957,3999828,0.00007788,25 + 0.31152421 BTC,2015/02/09 20:42,V 2
30,342750,Telco 214,531,595830,595830,2383320,0.00003889,25 + 0.09269218 BTC,2015/02/09 20:11,V 2
31,342749,AntPool,2123,749041,749041,2996164,0.00010564,25 + 0.31650066 BTC,2015/02/09 20:08,V 2
32,342748,AntPool,587,296997,296997,1187988,0.00006109,25 + 0.07257938 BTC,2015/02/09 19:43,V 2
33,342747,BitFury,901,436720,436720,1746880,0.00006386,25 + 0.11156058 BTC,2015/02/09 19:38,V 2
34,342746,F2Pool,1113,590338,590338,2361352,0.00005829,25 + 0.13764019 BTC,2015/02/09 19:29,V 2
35,342745,unknown,512,172865,172865,691460,0.00009171,25 + 0.06341499 BTC,2015/02/09 19:25,V 2
36,342744,digitalBTC,1030,648578,648578,2594312,0.00005208,25 + 0.13510796 BTC,2015/02/09 19:11,V 2
37,342743,unknown,1747,749204,749204,2996816,0.00008075,25 + 0.24200632 BTC,2015/02/09 19:02,V 2
38,342742,BTCC,41,16108,16108,64432,0.00009855,25 + 0.00634947 BTC,2015/02/09 18:40,V 2
39,342741,AntPool,174,93292,93292,373168,0.00009727,25 + 0.03629637 BTC,2015/02/09 18:39,V 2
40,342740,unknown,472,245026,245026,980104,0.00006445,25 + 0.06316949 BTC,2015/02/09 18:37,V 2
41,342739,F2Pool,764,657028,657028,2628112,0.00004386,25 + 0.11528173 BTC,2015/02/09 18:33,V 2
42,342738,unknown,1024,326329,326329,1305316,0.00010420,25 + 0.13601696 BTC,2015/02/09 18:39,V 2
43,342737,F2Pool,406,208260,208260,833040,0.00006490,25 + 0.05406378 BTC,2015/02/09 18:13,V 2
44,342736,SlushPool,507,553058,553058,2212232,0.00003836,25 + 0.08485623 BTC,2015/02/09 18:09,V 2
45,342735,Telco 214,1947,749204,749204,2996816,0.00008370,25 + 0.25083983 BTC,2015/02/09 18:10,V 2
46,342734,AntPool,132,76098,76098,304392,0.00003547,25 + 0.01079779 BTC,2015/02/09 17:44,V 2
47,342733,F2Pool,1605,894370,894370,3577480,0.00005555,25 + 0.19872531 BTC,2015/02/09 17:43,V 2
48,342732,BTCC,883,325263,325263,1301052,0.00015156,25 + 0.19718168 BTC,2015/02/09 17:42,V 2
49,342731,BW.COM,1043,749192,749192,2996768,0.00005001,25 + 0.14987836 BTC,2015/02/09 17:18,V 2
50,342730,unknown,1999,749183,749183,2996732,0.00008716,25 + 0.26120950 BTC,2015/02/09 17:11,V 2
51,342729,BW.COM,577,285779,285779,1143116,0.00006176,25 + 0.07059325 BTC,2015/02/09 16:46,V 2
52,342728,BitFury,280,138083,138083,552332,0.00004844,25 + 0.02675716 BTC,2015/02/09 16:41,V 2
53,342727,unknown,453,238777,238777,955108,0.00004659,25 + 0.04449897 BTC,2015/02/09 16:39,V 2
54,342726,AntPool,170,85386,85386,341544,0.00003637,25 + 0.01242075 BTC,2015/02/09 16:35,V 2
55,342725,Solo CK,1721,838869,838869,3355476,0.00006849,25 + 0.22980590 BTC,2015/02/09 16:34,V 2
