,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,253701,unknown,612,290343,290343,1161372,0.00024373,25 + 0.28306551 BTC,2013/08/22 23:58,V 2
2,253700,unknown,117,58026,58026,232104,0.00019994,25 + 0.04640624 BTC,2013/08/22 23:41,V 2
3,253699,unknown,253,105671,105671,422684,0.00025527,25 + 0.10790001 BTC,2013/08/22 23:38,V 2
4,253698,50BTC,230,105058,105058,420232,0.00028270,25 + 0.11880000 BTC,2013/08/22 23:32,V 2
5,253697,50BTC,516,239418,239418,957672,0.00024853,25 + 0.23801001 BTC,2013/08/22 23:26,V 2
6,253696,BTC Guild,13,5840,5840,23360,0.00032962,25 + 0.00770000 BTC,2013/08/22 23:12,V 2
7,253695,50BTC,114,46690,46690,186760,0.00029771,25 + 0.05560000 BTC,2013/08/22 23:12,V 2
8,253694,SlushPool,29,13380,13380,53520,0.00002055,25 + 0.00110000 BTC,2013/08/22 23:10,V 2
9,253693,50BTC,335,176719,176719,706876,0.00051834,25 + 0.36640000 BTC,2013/08/22 23:10,V 2
10,253692,BTC Guild,171,77995,77995,311980,0.00022501,25 + 0.07020001 BTC,2013/08/22 23:03,V 2
11,253691,BTC Guild,792,364993,364993,1459972,0.00027570,25 + 0.40251872 BTC,2013/08/22 22:59,V 2
12,253690,50BTC,478,191551,191551,766204,0.00027276,25 + 0.20898742 BTC,2013/08/22 22:40,V 2
13,253689,BTC Guild,116,62616,62616,250464,0.00021760,25 + 0.05450000 BTC,2013/08/22 22:26,V 2
14,253688,BTC Guild,28,16837,16837,67348,0.00015145,25 + 0.01020000 BTC,2013/08/22 22:23,V 2
15,253687,F2Pool,1,248,248,992,0.00000000,25 + 0.00000000 BTC,2013/08/22 22:22,V 2
16,253686,GHash.IO,156,77411,77411,309644,0.00021961,25 + 0.06800001 BTC,2013/08/22 22:22,V 2
17,253685,BTC Guild,160,62233,62233,248932,0.00027176,25 + 0.06765001 BTC,2013/08/22 22:17,V 2
18,253684,GHash.IO,41,16855,16855,67420,0.00019579,25 + 0.01320000 BTC,2013/08/22 22:13,V 2
19,253683,50BTC,134,68207,68207,272828,0.00020636,25 + 0.05630000 BTC,2013/08/22 22:12,V 2
20,253682,BTC Guild,227,126157,126157,504628,0.00020276,25 + 0.10231651 BTC,2013/08/22 22:09,V 2
21,253681,ASICMiner,627,249133,249133,996532,0.00030104,25 + 0.30000000 BTC,2013/08/22 22:05,V 2
22,253680,BTC Guild,162,152932,152932,611728,0.00019290,25 + 0.11800000 BTC,2013/08/22 21:47,V 2
23,253679,unknown,1,187,187,748,0.00000000,25 + 0.00000000 BTC,2013/08/22 21:45,V 2
24,253678,ASICMiner,44,18591,18591,74364,0.00008337,25 + 0.00620000 BTC,2013/08/22 21:45,V 2
25,253677,50BTC,245,104920,104920,419680,0.00024647,25 + 0.10344001 BTC,2013/08/22 21:42,V 2
26,253676,SlushPool,257,173221,173221,692884,0.00007202,25 + 0.04990060 BTC,2013/08/22 21:37,V 2
27,253675,BTC Guild,440,178656,178656,714624,0.00037376,25 + 0.26710005 BTC,2013/08/22 21:35,V 2
28,253674,BTC Guild,971,481447,481447,1925788,0.00025222,25 + 0.48572973 BTC,2013/08/22 21:20,V 2
29,253673,BTC Guild,330,181892,181892,727568,0.00025761,25 + 0.18743000 BTC,2013/08/22 20:57,V 2
30,253672,BTC Guild,429,183439,183439,733756,0.00031727,25 + 0.23280000 BTC,2013/08/22 20:52,V 2
31,253671,SlushPool,171,84412,84412,337648,0.00025056,25 + 0.08460000 BTC,2013/08/22 20:44,V 2
32,253670,BTC Guild,522,202629,202629,810516,0.00038154,25 + 0.30924794 BTC,2013/08/22 20:41,V 2
33,253669,BTC Guild,385,171120,171120,684480,0.00030768,25 + 0.21060001 BTC,2013/08/22 20:32,V 2
34,253668,unknown,101,43471,43471,173884,0.00026052,25 + 0.04530001 BTC,2013/08/22 20:26,V 2
35,253667,50BTC,91,35161,35161,140644,0.00025312,25 + 0.03560001 BTC,2013/08/22 20:24,V 2
36,253666,F2Pool,340,144249,144249,576996,0.00026898,25 + 0.15519824 BTC,2013/08/22 20:22,V 2
37,253665,BTC Guild,385,181888,181888,727552,0.00026041,25 + 0.18946289 BTC,2013/08/22 20:16,V 2
38,253664,BTC Guild,639,282782,282782,1131128,0.00032507,25 + 0.36769205 BTC,2013/08/22 20:08,V 2
39,253663,Eligius,556,307478,307478,1229912,0.00015248,25 + 0.18754043 BTC,2013/08/22 19:56,V 2
40,253662,unknown,665,248978,248978,995912,0.00036013,25 + 0.35865536 BTC,2013/08/22 19:46,V 2
