,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,150959,unknown,64,35163,35163,140652,0.00069513,50 + 0.09777085 BTC,2011/10/28 23:54,V 1
2,150958,unknown,35,11291,11291,45164,0.00089917,50 + 0.04061000 BTC,2011/10/28 23:25,V 1
3,150957,unknown,4,989,989,3956,0.00025278,50 + 0.00100000 BTC,2011/10/28 23:16,V 1
4,150956,unknown,129,46643,46643,186572,0.00003489,50 + 0.00651000 BTC,2011/10/28 23:11,V 1
5,150955,unknown,100,51950,51950,207800,0.00056014,50 + 0.11639722 BTC,2011/10/28 23:01,V 1
6,150954,unknown,93,39440,39440,157760,0.00014051,50 + 0.02216630 BTC,2011/10/28 22:03,V 1
7,150953,unknown,141,48976,48976,195904,0.00021694,50 + 0.04250000 BTC,2011/10/28 21:50,V 1
8,150952,unknown,32,18289,18289,73156,0.00092952,50 + 0.06800000 BTC,2011/10/28 21:20,V 1
9,150951,Eligius,27,15112,15112,60448,0.00000000,50 + 0.00000000 BTC,2011/10/28 21:11,V 1
10,150950,unknown,52,19735,19735,78940,0.00034655,50 + 0.02735638 BTC,2011/10/28 21:08,V 1
11,150949,unknown,18,8872,8872,35488,0.00042578,50 + 0.01511000 BTC,2011/10/28 20:54,V 1
12,150948,unknown,8,4182,4182,16728,0.00014945,50 + 0.00250000 BTC,2011/10/28 20:51,V 1
13,150947,unknown,83,29998,29998,119992,0.00012501,50 + 0.01500000 BTC,2011/10/28 20:49,V 1
14,150946,unknown,100,49157,49157,196628,0.00000145,50 + 0.00028442 BTC,2011/10/28 20:47,V 1
15,150945,unknown,108,53518,53518,214072,0.00034714,50 + 0.07431198 BTC,2011/10/28 20:44,V 1
16,150944,unknown,10,3486,3486,13944,0.00003586,50 + 0.00050000 BTC,2011/10/28 19:44,V 1
17,150943,unknown,49,26111,26111,104444,0.00008138,50 + 0.00850000 BTC,2011/10/28 19:41,V 1
18,150942,unknown,53,20318,20318,81272,0.00143961,50 + 0.11700000 BTC,2011/10/28 19:31,V 1
19,150941,unknown,16,6173,6173,24692,0.00018225,50 + 0.00450000 BTC,2011/10/28 19:16,V 1
20,150940,unknown,73,30093,30093,120372,0.00018277,50 + 0.02200000 BTC,2011/10/28 19:12,V 1
21,150939,unknown,50,31585,31585,126340,0.00011960,50 + 0.01511000 BTC,2011/10/28 18:48,V 1
22,150938,unknown,7,2663,2663,10652,0.00098573,50 + 0.01050000 BTC,2011/10/28 18:28,V 1
23,150937,unknown,12,4458,4458,17832,0.00016824,50 + 0.00300000 BTC,2011/10/28 18:26,V 1
24,150936,unknown,13,5519,5519,22076,0.00009513,50 + 0.00210000 BTC,2011/10/28 18:24,V 1
25,150935,unknown,123,34656,34656,138624,0.00001803,50 + 0.00250000 BTC,2011/10/28 18:18,V 1
26,150934,unknown,76,31047,31047,124188,0.00055104,50 + 0.06843295 BTC,2011/10/28 18:13,V 1
27,150933,unknown,33,12670,12670,50680,0.00037490,50 + 0.01900000 BTC,2011/10/28 17:48,V 1
28,150932,unknown,45,14401,14401,57604,0.00012152,50 + 0.00700000 BTC,2011/10/28 17:40,V 1
29,150931,unknown,102,38259,38259,153036,0.00042964,50 + 0.06574986 BTC,2011/10/28 17:30,V 1
30,150930,unknown,16,10635,10635,42540,0.00024683,50 + 0.01050000 BTC,2011/10/28 16:57,V 1
31,150929,unknown,83,33271,33271,133084,0.00069366,50 + 0.09231544 BTC,2011/10/28 16:46,V 1
32,150928,unknown,74,49572,49572,198288,0.00091163,50 + 0.18076512 BTC,2011/10/28 16:31,V 1
33,150927,unknown,20,8259,8259,33036,0.00043892,50 + 0.01450000 BTC,2011/10/28 15:57,V 1
34,150926,unknown,13,7346,7346,29384,0.00079975,50 + 0.02350000 BTC,2011/10/28 15:52,V 1
35,150925,unknown,26,13215,13215,52860,0.00013243,50 + 0.00700000 BTC,2011/10/28 15:49,V 1
36,150924,unknown,17,4769,4769,19076,0.00021545,50 + 0.00411000 BTC,2011/10/28 15:42,V 1
37,150923,unknown,133,47862,47862,191448,0.00018796,50 + 0.03598471 BTC,2011/10/28 15:39,V 1
38,150922,unknown,16,5325,5325,21300,0.00011737,50 + 0.00250000 BTC,2011/10/28 15:07,V 1
39,150921,unknown,59,23626,23626,94504,0.00029099,50 + 0.02750000 BTC,2011/10/28 15:06,V 1
