,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,449031,ViaBTC,2384,999203,999203,3996812,0.00017431,12.5 + 0.69669021 BTC,2017/01/19 23:59,
2,449030,1Hash,2358,998132,998132,3992528,0.00024698,12.5 + 0.98608984 BTC,2017/01/19 23:58,
3,449029,ViaBTC,2576,999187,999187,3996748,0.00023868,12.5 + 0.95392946 BTC,2017/01/19 23:42,
4,449028,BitFury,1352,998206,998206,3992824,0.00023062,12.5 + 0.92082846 BTC,2017/01/19 23:28,SW
5,449027,GBMiners,1818,999171,999171,3996684,0.00027165,12.5 + 1.08568073 BTC,2017/01/19 23:25,
6,449026,F2Pool,2578,999988,999988,3999952,0.00026278,12.5 + 1.05111417 BTC,2017/01/19 22:48,
7,449025,GBMiners,2365,999261,999261,3997044,0.00017774,12.5 + 0.71043533 BTC,2017/01/19 22:21,
8,449024,F2Pool,2695,999884,999884,3999536,0.00025874,12.5 + 1.03482317 BTC,2017/01/19 22:17,
9,449023,ViaBTC,2260,999215,999215,3996860,0.00013993,12.5 + 0.55929891 BTC,2017/01/19 21:50,
10,449022,BTCC,2774,998206,998206,3992824,0.00021894,12.5 + 0.87419827 BTC,2017/01/19 21:45,SW
11,449021,BitClub,2483,998117,998117,3992468,0.00018220,12.5 + 0.72742007 BTC,2017/01/19 21:29,SW
12,449020,BitFury,2738,998233,998233,3992932,0.00022378,12.5 + 0.89355710 BTC,2017/01/19 21:23,SW
13,449019,Bixin,2271,998064,998064,3992256,0.00016909,12.5 + 0.67505038 BTC,2017/01/19 21:06,
14,449018,AntPool,2636,998090,998090,3992360,0.00023503,12.5 + 0.93833610 BTC,2017/01/19 21:03,
15,449017,GBMiners,1459,999092,999092,3996368,0.00014643,12.5 + 0.58517945 BTC,2017/01/19 20:44,
16,449016,ConnectBTC,1486,998152,998152,3992608,0.00018179,12.5 + 0.72580032 BTC,2017/01/19 20:39,
17,449015,ViaBTC,1830,999179,999179,3996716,0.00016292,12.5 + 0.65113286 BTC,2017/01/19 20:33,
18,449014,BitFury,2266,998096,998096,3992384,0.00022410,12.5 + 0.89468457 BTC,2017/01/19 20:28,SW
19,449013,BitFury,2456,998254,998254,3993016,0.00018115,12.5 + 0.72333599 BTC,2017/01/19 20:17,SW
20,449012,AntPool,2882,998092,998092,3992368,0.00025653,12.5 + 1.02417342 BTC,2017/01/19 20:14,
21,449011,F2Pool,2769,999842,999842,3999368,0.00018738,12.5 + 0.74940238 BTC,2017/01/19 19:50,
22,449010,AntPool,2787,998137,998137,3992548,0.00024406,12.5 + 0.97443316 BTC,2017/01/19 19:43,
23,449009,Bixin,701,669044,669044,2676176,0.00007863,12.5 + 0.21041835 BTC,2017/01/19 19:22,
24,449008,Bixin,2383,993171,993171,3972684,0.00019876,12.5 + 0.78961305 BTC,2017/01/19 19:19,
25,449007,BW.COM,958,390429,390429,1561716,0.00020560,12.5 + 0.32108913 BTC,2017/01/19 19:10,
26,449006,AntPool,1132,451131,451131,1804524,0.00020559,12.5 + 0.37098697 BTC,2017/01/19 19:05,
27,449005,BATPOOL,1980,998192,998192,3992768,0.00017019,12.5 + 0.67953407 BTC,2017/01/19 19:01,
28,449004,SlushPool,2686,998189,998189,3992756,0.00022420,12.5 + 0.89518818 BTC,2017/01/19 18:55,SW
29,449003,BTCC,1659,698153,698153,2792612,0.00019383,12.5 + 0.54129104 BTC,2017/01/19 18:41,SW
30,449002,BTC.com,649,998191,998191,3992764,0.00005618,12.5 + 0.22431669 BTC,2017/01/19 18:33,
31,449001,AntPool,73,95274,95274,381096,0.00014091,12.5 + 0.05369979 BTC,2017/01/19 18:29,
32,449000,BTC.com,2097,998139,998139,3992556,0.00013221,12.5 + 0.52784309 BTC,2017/01/19 18:31,
33,448999,BW.COM,2492,998030,998030,3992120,0.00022394,12.5 + 0.89399465 BTC,2017/01/19 18:27,
34,448998,GBMiners,1863,999100,999100,3996400,0.00014476,12.5 + 0.57851983 BTC,2017/01/19 18:13,
35,448997,BitClub,2394,998258,998258,3993032,0.00022077,12.5 + 0.88154170 BTC,2017/01/19 18:07,SW
36,448996,BW.COM,1382,617266,617266,2469064,0.00016590,12.5 + 0.40961391 BTC,2017/01/19 17:58,
37,448995,BW.COM,2806,998012,998012,3992048,0.00022107,12.5 + 0.88252325 BTC,2017/01/19 17:54,
38,448994,AntPool,2247,998160,998160,3992640,0.00017679,12.5 + 0.70585593 BTC,2017/01/19 17:41,
39,448993,GBMiners,2410,999134,999134,3996536,0.00016955,12.5 + 0.67759639 BTC,2017/01/19 17:35,
40,448992,BW.COM,2755,998228,998228,3992912,0.00025239,12.5 + 1.00776092 BTC,2017/01/19 17:34,
41,448991,Telco 214,1753,749155,749155,2996620,0.00020535,12.5 + 0.61534432 BTC,2017/01/19 17:10,
42,448990,BitFury,2675,998235,998235,3992940,0.00020357,12.5 + 0.81283576 BTC,2017/01/19 17:04,SW
43,448989,BitFury,2385,998230,998230,3992920,0.00023342,12.5 + 0.93201099 BTC,2017/01/19 16:56,SW
44,448988,ViaBTC,1909,999201,999201,3996804,0.00025079,12.5 + 1.00235579 BTC,2017/01/19 16:44,
45,448987,1Hash,1378,998137,998137,3992548,0.00011925,12.5 + 0.47610065 BTC,2017/01/19 16:31,
46,448986,BitFury,596,252723,252723,1010892,0.00017350,12.5 + 0.17538881 BTC,2017/01/19 16:25,SW
47,448985,AntPool,1179,468603,468603,1874412,0.00020829,12.5 + 0.39041944 BTC,2017/01/19 16:24,
48,448984,F2Pool,1822,717622,717622,2870488,0.00017539,12.5 + 0.50345305 BTC,2017/01/19 16:18,
49,448983,Telco 214,1854,749197,749197,2996788,0.00018752,12.5 + 0.56195789 BTC,2017/01/19 16:15,
50,448982,BW.COM,2347,998055,998055,3992220,0.00018993,12.5 + 0.75826109 BTC,2017/01/19 16:11,
51,448981,BTC.TOP,2849,999174,999174,3996696,0.00028908,12.5 + 1.15537115 BTC,2017/01/19 16:07,
52,448980,1Hash,1281,998125,998125,3992500,0.00011692,12.5 + 0.46679517 BTC,2017/01/19 15:44,
53,448979,Bitcoin.com,311,185297,185297,741188,0.00014338,12.5 + 0.10627287 BTC,2017/01/19 15:40,
54,448978,SlushPool,206,72758,72758,291032,0.00020618,12.5 + 0.06000524 BTC,2017/01/19 15:39,SW
55,448977,AntPool,2246,929910,929910,3719640,0.00016035,12.5 + 0.59643767 BTC,2017/01/19 15:39,
56,448976,F2Pool,1935,999887,999887,3999548,0.00022070,12.5 + 0.88269679 BTC,2017/01/19 15:36,
57,448975,BitFury,971,998203,998203,3992812,0.00034603,12.5 + 1.38163923 BTC,2017/01/19 15:34,SW
58,448974,AntPool,824,573823,573823,2295292,0.00016523,12.5 + 0.37925351 BTC,2017/01/19 15:19,
59,448973,AntPool,2193,998190,998190,3992760,0.00018786,12.5 + 0.75008003 BTC,2017/01/19 15:17,
60,448972,BitFury,1668,998254,998254,3993016,0.00026965,12.5 + 1.07671382 BTC,2017/01/19 15:13,SW
61,448971,BTCC,1203,863254,863254,3453016,0.00018071,12.5 + 0.62400812 BTC,2017/01/19 15:02,SW
62,448970,BTC.TOP,1776,999206,999206,3996824,0.00022184,12.5 + 0.88663898 BTC,2017/01/19 14:58,
63,448969,AntPool,2244,998103,998103,3992412,0.00023617,12.5 + 0.94287163 BTC,2017/01/19 14:52,
64,448968,GBMiners,1294,866867,866867,3467468,0.00012041,12.5 + 0.41753095 BTC,2017/01/19 14:42,
65,448967,BTCC,2629,998178,998178,3992712,0.00021584,12.5 + 0.86178279 BTC,2017/01/19 14:40,SW
66,448966,BTC.com,2532,998050,998050,3992200,0.00020752,12.5 + 0.82845013 BTC,2017/01/19 14:28,
67,448965,GoGreenLight,1,198,198,792,0.00000000,12.5 + 0.00000000 BTC,2017/01/19 14:21,BIP 109
68,448964,F2Pool,993,492202,492202,1968808,0.00018913,12.5 + 0.37235607 BTC,2017/01/19 14:17,
69,448963,AntPool,804,607889,607889,2431556,0.00005454,12.5 + 0.13261159 BTC,2017/01/19 14:13,
70,448962,F2Pool,1882,999927,999927,3999708,0.00016888,12.5 + 0.67548941 BTC,2017/01/19 14:13,
71,448961,GBMiners,1938,999061,999061,3996244,0.00020148,12.5 + 0.80516725 BTC,2017/01/19 14:09,
72,448960,F2Pool,850,999792,999792,3999168,0.00014052,12.5 + 0.56196670 BTC,2017/01/19 14:01,
73,448959,BitFury,2354,998166,998166,3992664,0.00022824,12.5 + 0.91127161 BTC,2017/01/19 14:01,SW
74,448958,BW.COM,595,998173,998173,3992692,0.00014567,12.5 + 0.58160990 BTC,2017/01/19 13:46,
75,448957,ViaBTC,611,999195,999195,3996780,0.00013662,12.5 + 0.54604394 BTC,2017/01/19 13:44,
76,448956,1Hash,2207,998173,998173,3992692,0.00018937,12.5 + 0.75608043 BTC,2017/01/19 13:42,
