,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,183195,unknown,145,41425,41425,165700,0.00003727,50 + 0.00617500 BTC,2012/06/05 23:58,V 1
2,183194,unknown,244,97560,97560,390240,0.00051776,50 + 0.20205000 BTC,2012/06/05 23:54,V 1
3,183193,SlushPool,1165,415766,415766,1663064,0.00037608,50 + 0.62545000 BTC,2012/06/05 23:39,V 1
4,183192,unknown,139,49059,49059,196236,0.00015288,50 + 0.03000000 BTC,2012/06/05 23:34,V 1
5,183191,unknown,10,3571,3571,14284,0.00035004,50 + 0.00500000 BTC,2012/06/05 23:28,V 1
6,183190,BitMinter,228,80190,80190,320760,0.00034309,50 + 0.11005000 BTC,2012/06/05 23:06,V 1
7,183189,Eligius,256,92916,92916,371664,0.00057110,50 + 0.21225663 BTC,2012/06/05 22:58,V 1
8,183188,unknown,30,10287,10287,41148,0.00072908,50 + 0.03000001 BTC,2012/06/05 22:56,V 1
9,183187,unknown,248,134027,134027,536108,0.00068009,50 + 0.36460000 BTC,2012/06/05 22:52,V 1
10,183186,SlushPool,530,233825,233825,935300,0.00038055,50 + 0.35592500 BTC,2012/06/05 22:45,V 1
11,183185,unknown,139,49133,49133,196532,0.00047575,50 + 0.09350000 BTC,2012/06/05 22:32,V 1
12,183184,unknown,132,49132,49132,196528,0.00058287,50 + 0.11455000 BTC,2012/06/05 22:25,V 1
13,183183,BTC Guild,268,101440,101440,405760,0.00071348,50 + 0.28950000 BTC,2012/06/05 22:20,V 1
14,183182,unknown,184,49133,49133,196532,0.00003562,50 + 0.00700000 BTC,2012/06/05 22:15,V 1
15,183181,unknown,327,132284,132284,529136,0.00075803,50 + 0.40110012 BTC,2012/06/05 22:14,V 1
16,183180,SlushPool,262,169149,169149,676596,0.00024257,50 + 0.16412500 BTC,2012/06/05 21:58,V 1
17,183179,BTC Guild,70,30675,30675,122700,0.00024857,50 + 0.03050000 BTC,2012/06/05 21:50,V 1
18,183178,unknown,12,3567,3567,14268,0.00000001,50 + 0.00000010 BTC,2012/06/05 21:54,V 1
19,183177,unknown,45,13263,13263,53052,0.00046181,50 + 0.02450000 BTC,2012/06/05 21:42,V 1
20,183176,unknown,9,3576,3576,14304,0.00000000,50 + 0.00000000 BTC,2012/06/05 21:44,V 1
21,183175,OzCoin,14,5788,5788,23152,0.00015117,50 + 0.00350000 BTC,2012/06/05 21:41,V 1
22,183174,unknown,10,4105,4105,16420,0.00249695,50 + 0.04100000 BTC,2012/06/05 21:36,V 1
23,183173,BTC Guild,72,31148,31148,124592,0.00083874,50 + 0.10450000 BTC,2012/06/05 21:33,V 1
24,183172,unknown,11,3440,3440,13760,0.00079942,50 + 0.01100000 BTC,2012/06/05 21:33,V 1
25,183171,TripleMining,72,54696,54696,218784,0.00024225,50 + 0.05300000 BTC,2012/06/05 21:22,V 1
26,183170,unknown,13,3642,3642,14568,0.00003432,50 + 0.00050000 BTC,2012/06/05 21:13,V 1
27,183169,unknown,9,6815,6815,27260,0.00154072,50 + 0.04200000 BTC,2012/06/05 21:11,V 1
28,183168,BTC Guild,14,9191,9191,36764,0.00012512,50 + 0.00460000 BTC,2012/06/05 21:09,V 1
29,183167,unknown,131,78984,78984,315936,0.00029294,50 + 0.09255000 BTC,2012/06/05 21:08,V 1
30,183166,unknown,117,49544,49544,198176,0.00018605,50 + 0.03687010 BTC,2012/06/05 21:07,V 1
31,183165,unknown,6,3368,3368,13472,0.00003711,50 + 0.00050000 BTC,2012/06/05 20:41,V 1
32,183164,unknown,9,3568,3568,14272,0.00070067,50 + 0.01000000 BTC,2012/06/05 20:36,V 1
33,183163,BTC Guild,93,48443,48443,193772,0.00073446,50 + 0.14231816 BTC,2012/06/05 20:24,V 1
34,183162,BTC Guild,36,14183,14183,56732,0.00006169,50 + 0.00350000 BTC,2012/06/05 20:11,V 1
35,183161,SlushPool,110,117305,117305,469220,0.00083287,50 + 0.39080000 BTC,2012/06/05 20:09,V 1
36,183160,SlushPool,493,214035,214035,856140,0.00032200,50 + 0.27567500 BTC,2012/06/05 19:56,V 1
37,183159,unknown,596,249007,249007,996028,0.00037604,50 + 0.37455000 BTC,2012/06/05 19:47,V 1
38,183158,unknown,346,166565,166565,666260,0.00055707,50 + 0.37115028 BTC,2012/06/05 19:26,V 1
39,183157,unknown,175,78441,78441,313764,0.00040644,50 + 0.12752500 BTC,2012/06/05 19:14,V 1
40,183156,OzCoin,719,249640,249640,998560,0.00057681,50 + 0.57597500 BTC,2012/06/05 19:09,V 1
